separate by |",separate by |,Could be done programmatically,,,,,Working notes,
original-fr 640-spelling,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,"Modern form or spelling, even if meaning has changed","Part of speech (n., v., adj., adv.)",Reference or further notes,Reference link,Annotation id,"Questions, observations, examples, references",Folio,Entry ID,Entry heading,Synonym in this glossary,Antonym in this glossary,"""See also"" - other entry",Convert to editorial comment (or pull out partial comment) - Y / N,Editors notes,Uncertain
Angroise,,,wall lizard,Poitevin/Saintongeais,,n.(f),Littré | Favre | BF,,,,,,,,,,,,
Antimoine,,,antimony,,,n.(m),,,,,,,,,,,,,
Appiller,appiler,,"to tamp, to compact",Potevin,appiler,v.,VP | DPS,,,,,,,,,,,,
Aprest (paindre d'),,,to paint on glass,,,advp.,"Abel Boyer, Dictionnaire royal, françois-anglois et anglois-françois, vol. 1, Amsterdam etc, 1727",,,,,,,,,,,,
Archal (fil d’),,,latten or copper wire,,,n.(m),Cot | Littré,,,,,,,,,,,,
Ardille,ardile,,clay ,,,,"The author-practitioner provides a definition on fol. 112v: terre grasse appellee ardille (""fatty earth called ardille"") | Cot",,,,,,,,,,,,
Arene,,,"Natural sand, arid or lean, in which the grains do not adhere together",,,n.(f),,,,,,,,,,,,,
Areneux,areneulx,,sandy,,,adj.,DMF,,,,,,,,,,,,
Argel,,,Algiers,Spanish/Portuguese,,n. (m),,,,,,,,,,,,,
Argenter,,,to gild with silver,,,v.,Cot,,,,97r,,,,,,,,
Argent de billon,,,"billon silver (Billon refers to a mixed metal used in coinage, consisting of gold or silver with a preponderating admixture of a baser metal.)",,,n.(m),OED,,,,,,,,,billon,,,
Argent vif,vif argent,,"quicksilver, i.e. mercury",,,n.(m),,,,,,,,,,,,,
Argent vif arresté,,,fixed quicksilver,,,n.(m),,,,,"92r, 70v",,,,,,,,
Argent moulu,,,the compound of ground silver with which gilding or “silvering” is done.,,,,,,,,,,,,,Or moulu,,,
Aride,,,"lean, arid",,,adj.,,,,,,,,,gras,,,,
Armol,,,orach (Atriplex hortensis),Occitan,,,"Sauvatges, 1, p. 28; D’Hombres-Charvet, 1, p. 69.",,,,,,,,,,,,
Arraper,araper,,to adhere,,,v.,DMF,,,,,,,,,,,,
Arrouser,,,to shower,,arroser,v.,,,,,,,,,,,,,
Artiste,,,"In this period, “artiste” could mean skilled artisan, a Master of Arts (the university title), and was just beginning to be used in the sense of “creative artist,” as it is today. We chose to translate as “artist,” but this older connotation of artisanal skill should be kept in mind.",,,n.(m),,,,,,,,,,,,,
Aspalte,,,asphaltum,,,n.(m),PG,,,,,,,,,,,,
Aspic,,,spike lavender (Lavandula latifolia),,,n.(m),"DAF, OED",,,,,,,,,Huile d'aspic,,,
Assiette,,1,plate,,,n.(f),,,,,,,,,,,,,
Assiette,,2,ground (of a painting or for gilding),,,n.(f),,,,,,,,,,,,,
Atelaige,,,harness,,attelage,n.(m),,,,,25r,,,,,,,,
Attaquer (s'),,1,"to attach, to stick",,s'attacher,v.,DMF,,,,,,,,,,,,
Attaquer (s'),,2,to attack,,,v.,,,,,"109v, 110r",,,,,,,,
Aulcun(s),,,some (people),,,pron.,,,,,,,,,,,,,
Aulcunement,,,somewhat,,,adv.,,,,,,,,,,,,,
Aulne,,,"unit of measurement, equivalent to an ell, i.e. 2–4 feet.",,,n(f.),,,,,,,,,,,,,
Autan,haultan,,Autan wind (a SW/SSW wind),Occitan,,n.(m),,,,,,,,,,,,,
Avelane,,,hazelnut,Occitan,,n.(f),,,,,,,,,,,,,
Axunge,,,tallow,,axonge,n.(f),Cot,,,,,,,,,,,,
Axunge de verre,,,sandever ,,,n.(f),Enc,,,,,,,suin de verre,,,,,
Azur,,,"azure (the color, or various pigments of that color)",,,n.(m),,,ann_060_fa_17,,,,,,,,,,
Azur d’acre,,,blue pigment from Acre,,,n.(m),,,ann_060_fa_17,,,,,,,,,,
Azur d’esmail,,,"blue pigment, perhaps smalt",,,n.(m),,,ann_060_fa_17,,,,,,,,,,
Azur de cendre,,,azurite ash,,,n.(m),PG,,ann_060_fa_17,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,
Babtiste,,,cambric,,batiste,n.(f),Cot,,,,,,,,,,,,
Bague,,,jewel (mostly but not necessarily a ring),,,,Cot | OED,,,,,,,,,,,,
Bahus,,,trunk,,bahut,n.(m),Cot,,,,,,,,,,,,
Balauste,,,pomegranate flower,,,n.(f),Cot,,,,,,,,,,,,
Balle de bled,,,chaff,,,n.(f),"Agostino Gallo, Secrets de la vraye agriculture, French trans. 1572.",,,,,,,,,,,,
Balotte,,,small stone,,,n.(f),Cot,,,,,,,,,,,,
Barbe,,,barb,,,n.(f),,,,,,,,,,,,,
Barre,,,bar,,,n.(f),Cot,,,,,,,,,,,,
Barricot,barriquet,,firkin (small barrel),,barillet,n.(m),Cot | OED,,,,,,,,,,,,
Basane,,,"basan (sheep-skin tanned in oak- or larch-bark; distinguished from roan, which is tanned in sumach)",,,n.(f),Cot | OED,,,,,,,,,,,,
Basilic,,,large cannon,,,n.(m),annotation to Rabelais,https://goo.gl/W0CXNA,,,,,,,,,,,
Bastarde,,,small piece of artillery,,,n.(f),Cot,,,,,,,,,,,,
Bastonceau,,,small stick,,,n.(m),,,,,,,,,,,,,
Batterie,,,battery (a formation of guns),,,n.(f),,,,,,,,,,,,,
Batterie (faire),,,"to batter, to mount the battery",,,v.,Cot,,,,24v,,,,,,,,
Batture,,,"In Ms. Fr. 640, this term refers to an impermeable layer laid down on cloth in order to paint the cloth without the paint soaking through",,,n.(f),,,,,"10v, 32r",,,,,,,,
Bave,,1,"foam, froth, slaver",,,n.(f),,,,,,,,,,,,,
Bave,,2,"flashing (in metal casting: a defect produced by the metal penetrating where it should not, especially at the joint of a two-part mold)",,,n.(f),,,,,,,,,,,,,
Benarri,benarrin,,ortolan or bunting (migratory bird),Occitan,,n.(m),"J. Doujat, Dict. langue toulousaine",https://gallica.bnf.fr/ark:/12148/bpt6k4170z/f37.image,,,,,,,,,,,
Benjoin,beljoin,,benzoin,,,n.(m),Cot | OED,,,,,,,,,,,,
Berche,,,,,,n. (f.),,,,,,,,passevolant,,,,,
Billon,,,"billon (mixed metal used in coinage, consisting of gold or silver with a preponderating admixture of a baser metal)",,,n.(m),Cot | OED,,,,,,,,,argent de billon,,,
Billot,,,billet (large thick piece of wood),,,n.(m),OED,,,,,,,,,,,,
Bimbalotier,,,"one who makes and sells bibelots, i.e. small curios or trinkets",,bibelotier,n.(m),Cot | OED,,,,,,,,,,,,
Biquoque,,,"a poorly fortified town, fort, or place",,bicoque,n.(f),Cot | TLF,,,,,,,,,,,,
Biron,viron,,gimlet (a small boring tool),Occitan,,,DMF,,,,,,,guimbelet,,,,,
Biseaulx,,,bevel edge,,biseaux,n.(m),,,,,,,,,,,,,
Biseaulx (tailler à),,,cut in bevel (gemstones),,biseaux,n.(m),,,,,,,,,,,,,
Bistre,,,"brown pigment derived from the tarry soot of burned, resinous wood and beechwood",,,n.(m),"Gettens and Stout, Painting Materials, p. 97",,,,,,,,,,,,
Blanc de plomb,,,lead white,,,n.(m),,,,,,,,,,ceruse,,,
Blanchisseur de chaux vive,,,white-limer,,,n.(m),Cot,,,,,,,,,,,,
Bled,,,"grain (cereal in general, not wheat as in modern French)",,blé,n.(m),DMF,,,,,,,,,,,,
Bled orberé,,,Meaning uncertain. Could refer to a variety of gran or or a way of processing it.,,,,,,,,,,,,,,,,x
Bluteau,belluteau,,bolting cloth,,,n.(m),Cot,,,,,,,,,,,,
Blutter,belluter,,to boult,,bluter,v.,Cot,,,,,,,,,,,,
Bobine,,,bobbin,,,n.(f),,,,,,,,,,,,,
Bois d’erable,,,maple wood,,,n.(m),,,,,,,,,,,,,
Bois madré,,,wood with streaked grain,,,n.(m),Cot | DMF,,,,,,,,,,,,
Boisseau,,,bushel (a cylindrical vessel used for grain),,,,,,,,,,,,,,,,
Bol de Levant,,,Levant bole,,,,"Chambers, Cyclopedia",,,,,,,,,,,,
Bol armeni,,,"Gallicised spelling of the Lating ""bolus armeni"", i.e. armenian bole",Latin,,n.(m),,,,,,,,,,,,,
Bonne ville,,,"A status conferred by the French king in the Ancien Régime, from the late medieval period onwards, granting privileges and financial aid in exchange for military manpower and taxes. ""Bonne ville"" thus usually referred to a city of a certain size and degree of fortification.",,,n.(f),,https://fr.wikipedia.org/wiki/Bonne_ville_(France)#Bibliographie,,,,,,,,,,,
Bon (faire),,,to bounce,,bond,v.,"John Roberts, The Compleat Cannoniere",https://upload.wikimedia.org/wikipedia/commons/f/fc/Cannoniere_1652.jpg,,,,,,,,,,,
Borelet,borlet,,ring (standard part of the structure of a cannon),,,n.(m),,,,,,,,,,,,,
Borlet de la culasse,,,"ring of the breech (“base ring” in modern terminology)
",,,n.(m),,,,,,,,,,,,,
Borlet du milieu,,,"ring in the middle (“trunnion ring” in modern terminology)
",,,n.(m),,,,,,,,,,,,,
Borlet de la bouche,,,ring of the mouth (“muzzle ring” in modern terminology),,,n.(m),,,,,,,,,,,,,
Bornat,bournat (Saintongeais) | bournal | bornal,,"honeycomb, beehive",Occitan,,n.(m),Cot | LAF | Dictionnaire provençal-français 1846,,,,,,,,,,,,
Boufain,bouffin,,cornflower,Saintongeais,,n.(m),DPS,,,,,,,,,,,,
Bouquaran,bouquarant,,"buckram (linen fabric, originally from Boukhara)",,bougran,n.(m),DMF,,,,,,,,,,,,
Bourras,,,Meaning uncertain. Possibly wool stuffing,,,n.(m),DMF,,,,,,,,,bourre,,,x
Bourre,,1,cloth waste,,,n.(f),,,,,,,,,,,,,
Bourre,,2,wadding (of a gun),,,n.(f),,,,,,,,,,,,,
Bouteure,boutteure,1,boil,,bouture,n.(f),Cot | DMF,,,,,,,,,,,,
Bouteure,boutteure,2,liquid dip used by goldsmiths to clean silver of tarnish (now often called “pickle” in English--a heated mixture of vinegar and salt),,bouture,n.(f),LAF,,,,,,,,,,,,
Boutique,,,The author-practitioner envisions this as a place of making and selling goods as well as trading knowledge,,,n.(f),,,,,,,,,,,,,
Boutter,,1,"to beat, to pound (ingredients)",,,v.,,,,,,,,,,,,,
Boutter,,2,"to throw, to thrust",,,v.,,,,,,,,,,,,,
Boutter,,3,to bud (plants),,,v.,,,,,,,,,,,,,
Braquer,,,to plant (artillery),,,v.,Cot | OED,,,,,,,,,,,,
Braser,,,to braze,,,v.,DMF,,,,,,,,,,,,
Brasier,,,brazier,,,n.(m),,,,,,,,,,,,,
Brassard,,,"Arm defense comprising pauldron and vambrace, called a ""brassart"" in English in the 19th century.",,,n.(m),,,,,,,,,,,,,
Bresil,,,brazilwood (a red wood used for dyeing),,,n.(m),PG,,,,,,,,,,,,
Brissac,,,Breisach (Germany),,,n.,,,,,,,,,,,,,
Broc,,,flagon,,,n.(m),Cot,,,,,,,,,,,,
Broillart,,,waste book (book-keeping),,brouillard,n.(m),Boyer 1719,,,,9r,,,,,,,,
Broisse,brosse,,brush,,brosse,n.(f),,,,,,,,,,,,,
Brouillaminy,,,"Plaster for horses, made with armenian bole",,,n.(m),Littré,,,,,,,,,,,,
Brouiller,,,"to mix, to scramble",,,v.,,,,,,,,,,,,,
Broyer,,,to grind,,,v.,,,,,,,,,,,,,
Brunir,,,to burnish,,,v.,,,,,,,,,,polir,,,
Brunisson,,,burnisher,,,n.(m),Cot,,,,,,,,,,,,
Brusler,,,to burn,,brûler,v.,,,,,,,,,,,,,
Brusc,brusque,1,brittle,,brusque,adj.,Cot | DMF,,,,,,,,,,,,
Brusc,brusque,2,"brisk, lively",,brusque,adj.,Cot | DMF,,,,,,,,,,,,
Buée,,,lye,,,n.(f),Cot | DMF,,,,,,,,,,,,
Buglose,,,"small bugloss (Anchusa arvensis, a hairy herbaceous plant of the family Boraginaceae, typically with blue flowers)",,buglosse,n.(f),,,,,,,,,,,,,
Bullitoyre,bullitoire,,Meaning uncertain. Possibly a substance for whitening silver.,,,n.(m),,,,,"128v, 154r",,,,,,,,x
Burin,,,buring (a sharp engraving tool),,,n.(m),,,,,,,,,,,,,
Buye,,,pitcher,,,n.(f),Cot,,,,,,,,,,,,
Buys,,,boxwood,,buis,n.(m),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,
Cabat,,,"frail, a kind of basket made of rushes.",occitan,cabas,n.(m),Cot. | OED,,,,,p024v_1,,,,,,,
Cadran,,,"quadran, something that is square in shape",,,n.(m),OED,,,,,p021r_2,,,,,,,
Caillou,,,flint stone,,,n.(m),Cot.,,,,,,,,,,,,
Calamine,,,"calamine, a yellow mineral substance that looks like gold and which fire consumes but does not melt. Also the heavier soil of brass, or copper, which comes out of the sparkles and smoke that arise from the furnace and cleave of the roof and upper sides of the house, wherein it has melted",,,n.(f),Cot.,,,,,,,,,,,,
Calciner,,,to calcine,,,v.,,,,,,,,,,,,,
Caisse,Quaisse,,case,,,n.(f),,,,,,,,,,,,,
Cambray (toile de),,,fabric of Cambray,,,n.(f),Cot.,,,,,p057v_2,,,,,,,
Cane,Canne,,unit of measurement,,,n.(f),Cot.,,,,,,,,,,,,
Canon,,1,cannon (large gun),,,n.(m),Cot.,,,,,,,,,,,,
,,2,"barrel (hollow instrument, part of a furnace)",,,n.(m),Cot.,,,,,,,,,,,,
Canon à chambre,,,fowler,,,n.(m),Cot.,,,,,p024v_2,,,,,,,
Canon perrier,,,cannon-perior or stone gun,,,n.(m),"BL, Ms Additional 63649 | Not fowler (just used in a naval context), Robert Norton, The Gunner, 1628, p.57  ",,,,,,,,,,,,
Canonier,canonnier,1,cannon-maker,,canonnier,n.(m),,,,,,p017r_1,,,,,,,
,,2,gunner,,,n.(m),,,,,,,,,,,,,
Canule,,,small hollow cane,,cannule | canulle,n.(f),,,,,,p006v_1 | p066v_4,,,,,,,
Cappe,,,"cape, woman's cap or sleeveless cloak",saintongeais,cape,n.(f),DMC | Dict. du pat. saint.,,,,,,,,,,,,
Caque,,,keg,,,n.(m),Cot.,,,,,p024r_1,,,,,,,
Carquan,,,carcanet (ornamented collar or necklace),,carcan,n.(m),,,,,,,,,,,,,
Carnation,,,"flesh, of color",,,n.(f),,,,,,,,,,,,,
Carolus,,,carolus (white coin worth 10 deniers tournois),Latin,,n.(m),Cot.,,,,,,,,,,,,
Carton,quarton,1,thick paper upon which painters draw,,carton,n.(m),Cot.,,,"Ms uses ""carton"" mostly as a casting material.",,,,,,,,,
,,2,pasteboard,,,n.(m),OED,,,,,p080v | p081r | p142v,,,,,,,
,,3,papier-mâché,,,n.(m),OED,,,,,,,,,,,,
Cartuche,,,"full charge, paper case containing shot but no powder charge which goes into the barrel as a whole",,cartouche,n.(f),Cot.,,,,,,,,,,,,
Cassematte,,,casemate,,casemate,n.(f),Cot. | Boyer | OED,,,,17r  |  17v,,,,,,,definition?,
Cassole,,,"posnet, small metal pot or vessel for boiling, with a handle and three feet",,,n.(f),OED,,,,,,,,,,,,
Cave,,1,"cavity, hollow (female mold or concave part of the mold that forms the relief in the molded object)",,,adj.,,,,,,,,,,,,noun?,
,,2,"Kind of secondary mold. A cast of something, which in turn will be used as a mold",,,adj.,,,,,,,,,,,,noun?,
,,3,cellar,,,n.(f),,,,,83r,,,,,,, ,
Cedas,,,hair sieve,Occitan,,n.(f),Boissier,,,,,,,,,,,,
Cedulle,,,bill,,cédule,n.(f),Cot. | Boyer,,,,,,,,,,,,
Cendre d'Acre,,,"ash from Acre, alkaline ash from St Jean d'Acre in the Levant used in glassmaking",,,n.(f),Enc,,,,,,,,,,,,
Cendres chauldes,,1,"calcined chalk and charcoal that crucibles are made of, and shop sweepings (dross, etc) in a goldsmith's shop",,,n.(f),,,,,,,,,,,,Isn't that the definition for cendrée?,
,,2,method of melting and purifying metals in ashes,,,n.(f),Cot,,,,,,,,,,,,
Cendrée d'Azur,,,"blue pigment, azurite ash",,,n.(f),LAF | Cot | PG,,ann_033_sp_16,,59r,,,,,,,,
Cendres d'Azur,,,"blue pigment, possibly azurite ash",,,n.(f),,,,,11r | 13v,,,,,,,,
Cendres chauldes,,,hot ashes,,,n.(f),,,,,77v,,,,,,,,
Cercle,,,a circle of clay around a mold presumably for consolidation,,,n.(m),,,,,12r | 108v,,,,,,,,
Cerf-volant,,,stag beetle,,,n.(m),,,,,,,,,,,,,
Ceruse,,,"ceruse, a lead white mineral",,,n.(f),PG,,,,10v | 67v | 131r | 159r,,,,,blanc de plomb,,,
Chaire,,,chair,,,n.(f),,,,,136v,,,,,,,,
Chameau,,,long stick on which the sword is laid down and attached in order to furbish it,,,n.(m),,,,,94v,,,,,,,,
Chancre,,,crab,,,n.(m),,,,,,,,,,,,,
Chantepleure,,,"watering pot, earthenware tool similar to the spout of a watering can",,,n.(f),Cot | DLF,,,,,,,,,,,,
Chapiteau,,,the top part of an alembic,,,n.(m),,,,,,p007v_a3,,,,,,"""helmet"" in EN",
Chaple,,,a goldsmith's chisel or burin,,,n.(m),,,,,,,,,,,,,
Chappe,cappe,,small irregularities or crust-like covering that appear when the metal is cast,,chape,n.(f),DMF,,,,8v | 15r | 135v,,,,,,,,
Charbon,,1,"charcoal, not mineral coal",,,n.(m),,,,,,,,,,,,,
,,2,coals or embers of a fire,,,n.(m),,,,,,,,,,,,,
Charge,,,charge (the charge of a gun),,,n.(m),Cot,,,,17v,,,,,,,,
Charger,,1,to load (a gun),,,v.,,,,,,,,,,,,,
,,2,"to overcharge, to run too violently, like a military charge",,,v.,,,,,118v,,,,,,,,
,,3,"to saturate (ink), to charge (dye, possibly adding weight to the silk), to apply or cover (gilding and metalwork)",,,v.,,,,,101v,p019v_1,,,,,,,
,,4,to weigh down (sand weighing down the flower in preserving flowers),,,v.,,,,,121r,p096v_3 | 104r_4,,,,,,don't need explanation in context of one entry?,
Chasse,,,"power of fire, expulsion of fire (amount of powder in an arquebus)",,,n.(f),,,,,18r | 44r,,,,,Fœu de chasse,,,
Chasse d'eau,,,gush of water,,,n.(f),TLF,,,,,,,,,,,,
Chassis,,,frame (casting flask or casting frame),,,n.(m),,,,,,,,,,,,,
Chauché,,,grape variety from the Charentes region,,,n.(m),,,,,,,,,,,,,
Chaulde,,,"donner un chaulde, to give a heat (used by goldsmiths, glass-makers and iron workers)",,,v.,,,,,,,,,,,,,
Chauldiere,,,kettle,,chaudière,n.(f),Cot,,,,84v,,,,,,,,
Chauffer,,,"to heat, to raise the temperature of an object. Can be contrasted with ""cuire"" and ""recuire"" ",,,v.,,,,,,,,,,cuire | recuire,,,
Chauldronier,,,"coppersmith, tinker, kettlemaker, depending on the context",,,n.(m),,,,,,,,,,,,,
Chaulx,,,lime,,,n.(f),,,,,,,,,,,,,
Chaulx vive,,,quicklime,,,n.(f),,,,,,,,,,,,,
Chef d'œuvre,,,masterpiece,,,n.(m),Cot,,,,,,,,,,,,
Cheminer,,,to walk along,,,v.,,,,,,,,,,,,,
Cheville,,,a peg,,,n.(f),Cot,,,,,p021r_2,,,,,,,
Chien de mer,,,dogfish,,,n.(m),Cot,,,,,p094r_1,,,,,,,
Chimolée,,,astringent earth used in medicine,,cimolée,n.(f),DMF | Cot,,,,,,,,,,,,
Chofrette,chauferette,,"chafing dish, a vessel to hold burning charcoal or other fuel, for heating anything placed upon it, a portable grate",,chaufferette,n.(f),Cot | OED,,,,,,,,,,,,
