separate by |",separate by |,Could be done programmatically,,,,,Working notes,
original-fr 640-spelling,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,"Modern form or spelling, even if meaning has changed","Part of speech (n., v., adj., adv.)",Reference or further notes,Reference link,Annotation id,"Questions, observations, examples, references",Folio,Entry ID,Entry heading,Synonym in this glossary,Antonym in this glossary,"""See also"" - other entry",Convert to editorial comment (or pull out partial comment) - Y / N,Editors notes,Uncertain
Clinquant,,,a sheet of gold or gilded metal,,,n.(m),,,,,,,,,,,,,
Coche,,,notch,,,n.(f),Cot | OED,,,,,p021r_2,,,,,,,
Cocon,,,cocoon,,,n.(m),Cot,,,,,,,,,,,,
Coing,,,wedge,,coin,n.(m),Cot,,,,,p021r_2,,,,,,,
Coin,,,corner,,,n.(m),DMF,,,,121r,,,,,,,,
Colet,,,collar,,collet,n.(m),Cot,,,,,,,,,,,,
Colle à destrempe,,,TBD,,,n.(f),,,ann_042_sp_16,,3v,,,,,,,,
Colle de farine,,,"glue made of wheat flour, stationer's paste",,,n.(f),Cot,,,,74r,,,,,,,,
Colle de menuisier,,,joiner's glue,,,n.(f),Cot,,,,,,,,,,,,
Colle de paste,,,"paste glue, also known as paste, wheatpaste or flour paste",,,n.(f),Wik,,,,29r,,,,,,,,
Colle de poisson,,,"fish glue, also known as mouth glue or water glue, since is can be moistened and made adhesive by wetting with the mouth",,,n.(f),Cot,,,,165r,,,,,,,"also ""isinglass"" in EN",
Colle de retaille,,,"hide glue, glue made from collage-containing remains of four footed animals (skins, hooves, etc)",,,n.(f),DAM,,,,,,,,,,,hooves in hide glue? review,
Colle forte,,,"strong glue, probably made from collagen-containing remains of four-footed animals",,,n.(f),,,,,,,,,,,,,
Colloquer,,,to place,,,v.,DMF,,,,,,,,,,,,
Colombin,,,"columbine, of a red-violet color similar to the neck of a pigeon",,,adj.,OED | TLF,,,,,,,,,,,,
Colophoine,colophonie,,colophony,,,n.(m),,,,,3v,,,,,resine,,,
Combien que,,,although,,,advp.,,,,,,,,,,,,,
Comme,,1,"as, somehwat",,,adv.,,,,,121r,,,,,,,,
,,2,when,,,adv.,LAF,,,,,p097r_2,,,,,,,
Compaction,,,compactness,,,n.(f),,,,,,,,,,,,,
Composition,,,"confection, composition",,,n.(f),,,,,,p118r_3,,,,,,,
Compte arresté,,,balanced acount,,,n.(m),Boyer,,,,,,,,,,,,
Conduict,,,conduit,,,n.(m),Cot,,,,,,,,,,,,
Connil,,,rabbit,Occitan,,n.(m),,,,,,,,,,,,,
Consolida major,,,another name for Symphytum officinale,Latin,,n.(f),BP,,,,,,,,,,,EN name?,
Contrefaire,,,"to counterfeit, the A-P distinguishes between imiter and contrefaire, with imiter meaning to make a representation of something (a thing or scene), and “contrefaire” to mimic a (valuable) material in (more available) materials, such as “coral contrefaict” and “jaspe contrefaict.” ",,,v.,,,ann_045_fa_16,,10r,,,,,imiter,,,
Contretirer,,,to counterproof,,,v.,TLF,,,,51r,,,,,,,,
Copelle,,1,"cupel, a small flat circular porous vessel with a shallow
depression in the middle made of pounded bone ash, pressed into shape by a mold, and
used in assaying gold and silver with lead.",,,n.(f),OED,,,,,,,,,,,,
,,2,"a similarly shape test or moveable
hearth of the reverberatory furnace in which silver is separated from lead cupellation.",,,n.(f),OED,,,,164r,,,,,,,revise,
Coucher,,,"to keep flat, of hairs on an animal",,,v. ,,,,,,,,,,,,too specific to include in glossary? how many instances in ms?,
Couperose,copperouse | copperoze,,"copperas, protosulphates of copper, iron and zinc, distinguished as blue, green, and white copperas respectively. Etymologically it belonged properly to the copper salt, but in English use, when undistinguished by attribute or context, it has always been most commonly, and is now exclusively, applied to green copperas, the proto-sulphate of iron or ferrous sulphate, also called green vitriol, used in dyeing, tanning, and making ink",,couperose,n.(f),,,,,,,,,,,,,
Coquille,,,measure containing five spoonfuls,,,n.(f),Cot,,,,,,,,,,,,
Cormier,,,"service tree, Sorbus domestica",,,n.(m),,,,,,,,,,,,,
Cornaline,,,"a semi-precious stone that has a red-hue. What it is precisely
in modern terms is not clear, but this translation retains the ambiguity",,,n.(f),Cot,,,,,,,,,,,,
Corne,,,"horn, a translucent material. Most likely bovine in the context of Ms Fr 640, as cow horn grows in layers that can be split into thinner sheets",,,n.(f),,,,,,,,,,,,,
Corniche,,,"cornicle, small horn",,,n.(f),DEF,,,,,,,,,,,,
Cornue,,,"retort, according to Cot. ""a kind of bending Limbecke (like a Bagpipe) of glasse, varnished, and leaded within; used for th’extracting of oyles out of hard and drie things, as wood, mettalls, etc""",,,n.(f),Cot,,,,,,,,,,,,
Corps,,1,body,,,n.(m),,,,,,,,,,,,,
,,2,opacity,,,n.(m),,,,,169v,,,,,,,,
,,3,thickness,,,n.(m),,,,,65r,,,,,,,,
Corps de cuirasse,,,breastplate,,,n.(m),,,,,,,,,,,,,
Corroyer,,,to subject metal to hot-working or currying steel?,,,v.,,,,,50v,,,,,,,,
Corroyeur,courroyeur,,"currier, One whose trade is the dressing and colouring of leather after it is tanned",,corroyeur,n.(m),Cot,,,,,,,,,,,,
Corroyé,,,curried steel?,,,adj.,TLF | Felib | OED,,,,50v,,,,,,,,
Cotton,,,"a stuff that is used for stuffing, wadding, or padding. It can be made of wool and other materials (cotton, the plant, eventually took on the name of the stuff)",,,n.(m),,,,,,,,,,,,,
Couche,,,"layer, coat of paint, varnish, etc.",,,n.(f),,,,,,,,,,,,,
Couge,,,,,,,,,,,,,,,,gouge,,,
Coucher,,,"to coat, to layer",,,v.,,,,,,,,,,,,,
Couler,,,"to pour, to run through, sometimes in the sense of strain of filter",,,v.,,,,,11r,,,,,,,,
Couleur,,,"substance to make metals flow more easily, a flux or liquifier",,,n.(m),,,,,,,,,,,,,
Couleur d'eau,,,the color on armor,,,n.(f),,,,,96v,,,,,,,,
Coup,,,"shot, of artillery",,,n.(m),,,,,,,,,,,,,
Courre,,,"to run, of melted metal",,courir,v.,,,,,,,,,,,,,
Courtine,,,curtain wall (fortification),,,n.(f),OED,,,,25r,,,,,,,,
Couvert,,,"opaque, deep, of color",,,adj.,,,,,,,,,,,,,
Coux,,,sharpening stone,,,n.(f),,,,,80v,,,,,,,,
Cramoisi,,,crimson,,,adj.,Cot,,,,,,,,,,,,
Crampons,,,"clamps, metal parts used to hold molds together",,,,,,,,,,,,,,,,
Crapaudine,,,"toadstone, according to DMF ""petrified tooth of the earless seal, originally thought to come from the head of the toad. It was used as a precious stone, and to detect the presence of poison""",,,n.(f),DMF,,,,13v,,,,,,,,
Crasse,,,"filth, it may be the scale resulting from excessive heat when melting metal",,,n.(f),,,,,,,,,,,,,
Croons,,,maybe crayon?,,,n.(m),,,,,,,,,,,,,
Crespe,,,Crêpe (fabric),,crêpe,n.(m),DMF,,,,,p021r_2,,,,,,,
Creuset,creuseau,,crucible,,,n.(m),Cot,,,,,,,,,,,,
Crusol,,,crucible,Occitan,,,,,,,,,,,,creuset,,,
Creux,,,hollow,,,adj.,,,,,,,,,,,,,
Crever,,,to burst,,,v.,,,,,,,,,,,,,
Crible,,,sieve,,,n.(m),Cot,,,,,p054v_1,,,,,,,
Cristallin,,,"cristallo glass, similar to that made in Murano",,,n.(m),,,,,68r,,,,,,,,
Crocum,,1,saffron,Latin,,n.(m),,,,,,,,,,,,,
,,2,abbreviation for crocum ferri,Latin,,n.(m),,,,,,,,,,crocum ferri,,,
Crocum ferri,crocum ferry,,"crocus of iron, a red pigment made by dissolving iron filings in nitric acid or vinegar",Latin,,n.(m),,,,,152v | 148r | 106v,,,,,,,,
Croupir,,,to rest,,,v.,Cot,,,,,,,,,,,,
Cuirasse,,,"cuirass, a defense for the torso, consisting of breastplate and backplate",,,n.(f),,,,,,,,,,,,,
Cuivre franc,,,pure red copper,,,n.(m),GA,,,,,,,,,rosette,,,
Cuivre rouge,,,red copper,,,n.(m),,,,,,,,,,,,,
Culasse,,,breech of a gun,,,n.(f),,https://upload.wikimedia.org/wikipedia/commons/f/fc/Cannoniere_1652.jpg,,,,,,,,,,,
Couleuvrine,coleuvrine,,culverin,,,n.(f),Cot | OED,,,,,,,,,,,,
Couleuvrine bastarde,,,"bastard culverin, gun weighting 35 quintals and armed with a 25 pounds cannonball ",,couleuvrine bâtarde,n.(f),"OED | Norton Robert, The gunner , 1628, p. 157.",,,,,,,,,,,,
Demi-coulevrine,,,"demi-culverin, gun weighting 30 quintals and armed with a 20 pounds cannonball ",,,n.(f),"OED | Norton Robert, The gunner , 1628, p. 157.",,,,,,,,,,,,
Cuire,,,"to cook, or to transform by the action of heat.",,,v.,,,,,,,,,,chauffer | recuire,,,
Curieulx,,1,scrupulous,,curieux,adj.,Cot,,,,84v,,,,,,,,
,,2,careful,,,adj.,Cot,,,,62r | 85v | 142r ,,,,,,,,
Curieusement,,,carefully,,,,,,,,,,,,,,,,
Cussoner,,,to become weeviled (weevil-infested grain),Occitan,,,"Moreux, Bernard, and Robert Razou. Les Mots De Toulouse: Lexique Du Français Toulousain. Toulouse: Presses Univ. du Mirail-Toulouse, 2000. p 221",,,,,p088r_5,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,
Damasquine,,,damascening,,,n.(f),Cot,,,,015v,,,,,,,,
Damasser,,,"to damask, to apply to a cloth patterns in the style of damask",,,v.,DMF,,,,,p015r_a1,,,,,,,
Décrépiter,,,"to decrepitate, to calcine or roast (a salt or mineral) until it no longer crackles in the fire",,,,TLF | OED,,,,,,,,,,,,
Desdaigner,,,to disregard,,dédaigner,v.,TLF,,,,,,,,,,,,
Dégraisser,,,to rid of grease,,,v.,Cot,,,,051v,,,,,,,,
Dégouter,,,to drip,,,v.,,,,,003r,,,,,,,,
Desjoindre,,,"to unjoin, of molds",,,v.,,,,,114v | 117r,,,,,,,,
Delayer,,,"to macerate, allay, or soften, by steeping; also to thin",,,v.,Cot,,,,009v,,,,,,,,
Denier,,1,"unit of currency (1/12 of a sol, 1/240 of a livre)",,,n.(m),NO SOURCE,,,,,,,,,,,,
,,2,unit of weight (1/785 of a kilogram),,,,NO SOURCE,,,,,,,,,,,,
Denrée,,,"ware, from denerée (ware which has the value of a denier) ",,,n.(f),TLF,,,,090r,,,,,,,,
Dent,,,"tooth, (wolf or dog tooth, used as a tool for burnishing gold and silver)",,,n.(f),,,,,066r | 066v,,,,,,,,
Departement,,,Separation,,,n.(m),Cot | TLF,,,,,,,,,,,,
,,,portrayed,,,p.p.,Cot,,,,,,,,,,,,
Depainct,,,,,,,,,,,,,,,,,,,
Derechef,derechief,,once again,,derechef,advp.,Cot | DMF,,,,,,,,,,,,
Desbaucher,,,disengage,,,v.,,,,,,p021r_2,,,,,,,
Desenclouer,,,to unspike,,,v.,,,,,,p021v_1,,,,,,,
Desseicher,deseicher,,to dry out,,desseicher,v.,,,,,,,,,,,,,x
Desgrusouer ,,,some kind of grinding tool that works on a wheel to clean the inside of pewter dishes and bowls (maybe a lathe type instrument),,,n.(m),,,,,,,,,,,,,
Deslié,,,"delicate or thin, “delicate” or “thin”, according to context 
délié is related etymologically to delicate (Lat. delicatus)",,délié,p.p.,,,,,,,,,,tenvre,,,
Desmeller,,,to separate,,démêler,v.,Cot | DMF,,,,012r,,,,,,,,
Despouille,,,"released, easily released (based on shape of the object used for molding), as defined by the A-P in p114r_1
",,dépouille,n.(f),,,,,,,,,,,,,
Despouiller,,,"to release, speaking of the mold releasing the cast",,dépouiller,v.,,,,,,,,,,,,,
Dessein,,,design,,dessin,n.(m),,,,,,,,,,,,,
Destremper,,1,"to mix
",,,v.,,,,,,,,,,,,,
,,2,to temper (metallurgy),,,v.,,,,,,,,,,,,,
,,3,to dilute,,,v.,,,,,,,,,,,,,
,,4,to wet,,,v.,,,,,,,,,,,,,
,,5,"to distemper (painting), technique that involves a variety of binding media such as egg, glue, size. Not to confuse with tempera, which refers more narrowly to a technique using egg yolk as the binding medium",,,v.,,,,,,,,,,,,,
Dextrement,,,nimbly,,,adv,Cot,,,,,,,,,,,,
Diamant quarré ,,,square diamond,,,n.(m),,,,,,,,,,,,,x
Dictam,,,dittany (plant),,,n.(f),,,,,,,,,,,,,
Diligemment,diligement,,diligently,,,adv,DMF,,,,,,,,,,,,
"Discretion, à",,,"at discretion, as much as is needed",,,advp.,,,,,,,,,,,,,
Douille,,,socket,,,n.(f),Cot,,,,,,,,,,,,
Doulx,,1,"soft, malleable (of metals)",,doux,adj.,,,,,,,,,aigre,,,,
,,2,"smooth, of set sands being cut",,,adj.,,,,,153v,,,,rude,,,,
Dour,,,"measurement unit, according to Cot ""a hands breadth, or the breadth of four fingers""",,dor,n.(m),Cot,,p040v_4,,,,,,,,,,
Doreure,,,gilding,,dorure,n.(f),,,,,66r,,,,,,,,
Doublet,,,a jewel made of two pieces joined together,,,n.(m),Cot,,,,,,,,,,,,
Douzain,,,early modern French currency unit,,,n.(m),,,,,,,,,,,,,
Dragant,,,see gomme,,,n.(m),,,,,,,,,,,,,
Dragée,,,hail shot,,,n.(f),Cot,,,,,,,,,,,,
Drageon,,,type of dragée,,,n.(m),,,p045r_1,,,,,,,,,,
Drap,,,cloth,,,n.(m),,,,,,,,,,,,,
Drogue,,,"drug, any substance used as an ingredient in various making processes",,,n.(f),,,,,,,,,,,,,
Ductible,,,ductile,,,adj.,Cot | OED,,p016r_1,,,,,,,,,,
Dur,,,hard,,,adj.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,
Eau d’alum,,,water of alum,,eau d’alun,n.(f),,,,,,,,,,,,,
Eau d’amydon,,,starch water,,eau d’amidon,n.(f),,,,,,,,,,,,,
Eau de roche,,,"rock water (the author-practitioner defines this term on 11r: eau de roche, qu’ilz appellent, c’est une eau distillée des mines où l’azur ou vert d’azur se trouve, qui naturellement distille par les veines de la montaigne ou qui est par alambic distillée par des pierres mineralles d’azur ou cuivre – ""it is a water distilled from mines where azure or vert d'azur is found, which distills naturally through the veins of the mountain or is distilled through an alembic from mineral stones of azure or copper."")",,,n.(f),,,,,,,,,,,,,
Eau de sel armoniac,,,sal ammoniac water,,,n.(f),,,,,,,,,,,,,
Eau de vie,eau de vye,,eau-de-vie,,eau-de-vie,n.(f),,,,,,,,,,,,,
Eau gommée,,,gum water,,eau-de-vie,n.(f),,,,,,,,,,,,,
Eau fort,,,aquafortis,,eau-forte,n.(f),,,,,,,,,,,,,
Eau panée,,,water in which bread has been boiled,,,n.(f),TLF,,,,,,,,,,,,
Eau sel,,,salt water,,,n.(f),"La pharmacopée de Bauderon, 1681, p. 14.",https://books.google.fr/books?id=1rIwo3x71oQC&pg=PA14&dq=%22eau+sel%22&hl=fr&sa=X&ved=0ahUKEwit1J-M4pvcAhUBuxQKHTgbAUY4FBDoAQgsMAE#v=onepage&q=%22eau%20sel%22&f=false,,,,,,,,,,,
Electre,,,"electrum (an alloy of gold and silver thought to have occult properties, such as protection from poison)",,,n.(m),"OED | Heinrich Khunrath's 1597 manuscript, Consilium de Vulcani magia fabrecatione armorum Achilles_ (Ms. Rål 4, 1597 (43), National Library of Sweden",,,,,149r_2,,,,,,,
Emboire (s'),embeu (p.p.) | imbeu (p.p.),,"to imbibe (to be absorbed, soak in)",,s’imbiber,v.,,,,,,,,,,,,,
Embraser,,,to set ablaze,,,v.,,,,,,,,,,,,,
Embrever (s’),embreuver,,"to imbibe (to be absorbed, soak in)",,,v.,,,,,,,,s'emboire,,,,,
Empan,pan,,"a measurment equivalent to a handspan, c. 25cm",,,n.(m),DMF,,,,,,,,,,,,
Enchasser,,,"to set (mirrors, jewels etc.)",,,v.,,,,,,,,,,,,,
Encocher,,1,to notch,,,v.,,,,,,,,,,,,,
Encocher,,2,to slot (something into a groove or notch),,,v.,,,,,,,,,,,,,
Encoché,,,"grooved, notched",,,adj.,,,,,,,,,,,,,
Encocheure,,,notch,,,n.(f),Cot,,,,,,,,,,,,
Enlasser,,,to clasp (hands),,,v.,,,,,,,,,,,,,
Emmancher,,,to helve (i.e. set on a haft or handle),,,v.,Cot | OED,,,,,,,,,,,,
Emplastre,,,plaster,,emplâtre,n.(m),,,,,,,,,,,,,
Empraindre,,,to imprint,,empreindre,v.,Cot,,,,,,,,,,,,
Empraint,,,imprint,,empreinte,n.(m),,,,,,,,,,,,,
Enleveure,,,swelling,,,n.(f),Cot,,,,,,,,,,,,
Enlumineure,,,illumination,,enluminure,n.(f),,,,,,,,,,,,,
Enssus (à l’) ,,,"on the top, upwards",Occitan,,advp.,DLT p. 99,https://books.google.fr/books?id=RNfsWxsOtx8C&pg=PA99&lpg=PA99&dq=%22%C3%A0+l%27ensus%22&source=bl&ots=Oeg8mwZW7J&sig=V3lsvIRC9mYH1s9ai839BLtwuzQ&hl=fr&sa=X&ved=0ahUKEwijzs3Oro_cAhWC7xQKHWmcAAMQ6AEIKjAA#v=onepage&q&f=false,,,94v,,,,,,,,
Entailleures,,,scorings,,,n.(f),,,,,137v,,,,,,,,
enter,hanter,,to graft,,enter,v,,,,,,,,greffer,,,,,
Entredeulx,entredeux | entre deulx,,the space between or middle part,,entre-deux,n.(m),,,,,"144v, 146v, 150v",,,,,,,,
Entremesler,,,to intermix,,,v.,,,,,,,,,,,,,
Enveler (s’),,,to warp,Poitevin (Saintongeais),,v.,DPS,,,,84r,,,,,,,,
Equipage,,,furniture,,,n.(m),Cot,,,,25r,,,,,,,,
a type of grafting (enter en e,,1,to rough out,,ébaucher,v.,Cot,,,,,,,,,cire à esbaucher,,,
Esbaucher,,2,to model (wax),,ébaucher,v.,,,,,,,,,,,,,
Escailler,,,to flake off,,écailler,v.,,,,,,,,,,,,,
Escaille,,1,shale,,écaille,n.(f),Cot,,,,31v,,,,,,,,
Escaille,,2,scale,,écaille,n.(f),Cot,,,,,,,,,noir d'escaille,,,
Escarlate,,,"scarlet ( In both French and English, this was usually a rich red color but could refer to other colors. Could also refer to cloth of this color, usually of a very high quality, and worn ceremonially by high-ranking officials)",,écarlate,n.(f),Cot | OED,,,,,,,,,Pastel d’escarlate,,,
Eschancrer,,,to hollow out ,,,v.,Cot,,,,43v,,,,,,,,
Eschervis,,,skirret (a root vegetable),,chervis,n.(m),Cot | LAF,,,,,,,,,,,,
Esclarcir,,1,to clarify (a color),,éclaircir,v.,Cot,,,,,,,,,,,,
Esclarcir,,2,to thin (a substance),,,,,,,,,,,,,,,,
Esclatter (s’),,,"break, crack?",,,v.,,,,,,,,,,,,,
Escrouir,,,"Meaning uncertain, possibly refers to the hardening of coins during the minting process, or of gold, silver, and copper during cold hammering.",,,v.,Furetière 91r,,,,,,,,,,,,x
Escu,,,écu (a silver or gold coin),,,n.(m),OED,,,,,,,,,,,,
Escuelle,,,bowl,,écuelle,n.(f),,,,,,,,,,,,,
Escusson,escuson,1,quillon block (part of the hilt of a sword),,écusson,n.(m),,,,,,,,,,,,,
Escusson,,2,escutcheon (escutcheon-shaped mark on a cannon which may indicate the powder charge),,,,,,,,,,,,,,,,
Escusson,,3,a way of grafting trees (hanter en escusson),,,,,,,,,,,,,enter,,,
Esgaier,,,to move freely (a brush),,,v.,DAF,,,,,,,,,,,,
Esgratigner,,,to scratch (creating a pattern in satin by a technique akin to pinking),égratiner,,v.,Littré,,,,,,,,,,,,
Esguiere,,,ewer,,aiguière,n.(f),,,,,,,,,,,,,
Esmail d’azur,,,"a blue pigment, possibly smalt, azurite, or verditer",émail d’azur,,n.(m),,,ann_060_fa_17,,,,,,,,,,
Esmail de gueule,,,gules red enamel (an opaque red enamel; cf. transparent rouge clair enamel),,émail de gueules,n.(m),,,,,,,,,,rouge clair,,,
Esmenuiser,,,to break up,,amenuiser,v.,Cot,,,,,,,,,,,,
Esmeril,esmery,,emery (hard stone used in powder form for polishing),,émeri,n.(m),OED | T. Browne Pseudodoxia Epidemica ii. iii. 69   The Magnet attracteth..the Smyris or Emery in powder,,,,,,,,,,,,
Esmier,esmyer | esmietter,,to crumble,,émietter,v.,Cot,,,,,,,,,mie | miette,,,
Esmotter,,,to harrow,,,v.,,,,,39r,,,,,,,,
Espasier,,,furbisher,Occitan,,n.(m),Provenzalisches Supplement-Wörterbuch,,,,,11v_03,,,,,,,
Espauliere,,,pauldron (a shoulder defense in armor),,épaulière,n.(f),,,,,,,,,,,,,
Espessir,,,to thicken,,épaissir,v.,,,,,,,,,,,,,
Espingle,,,pin,,épingle,n.(f),,,,,,,,,,,,,
Espinette,,,spinet (small keyboard instrument with plucked strings),,épinette,n.(f),,,,,,,,,,,,,
Esprit volatil,,,volatile spirit,,,n.(m),Encyclopédie méthodique,https://books.google.fr/books?id=2NVTAAAAYAAJ&pg=PA96&lpg=PA96&dq=%22esprit+volatil%22&source=bl&ots=Xne7LS2vbI&sig=bnNo5z6l_aOampDV81zDpe7tH6c&hl=fr&sa=X&ei=tXfLU8jWMsPO0QXIlYCoBw&ved=0CDAQ6AEwATgK#v=onepage&q=%22esprit%20volatil%22&f=false,,,,,,,,,,,
Esprouver,,,to assay,,éprouver,v.,Cot | DMF,,,,,,p058v_4,,,,,,
Essuyer,,,"to wipe, to dry",,,v.,Cot,,,,,,,,,,,,
Estaim,estain | estaing,,tin,,étain,n.(m),,,,,,,,,,,,,
Estain de glace,,,looking-glass tin (tin alloy used for backing glass mirrors),,,n.(m),,,,,"75r, 88r, 92r, 110v, 188r",,,,,,,,
Estaindre,,,"to extinguish, to snuff out",étaindre,,v.,Cot | DMF,,,,,,,,,,,,
Estamer,,,to tin,étamer,,,,,,,,,,,,,,,
Estamine,,1,tammy cloth (straining utensil),étamine,,n.(f),Cot,,,,,,,,,tamis,,,
Estamine,,2,tammy (fabric),,,n.(f),,,,,,p044v_1,,,,,,,
Estampe,,,"impression, stamped ornament",,,n.(f),,,,,,,,,,,,,
Estandre,estendre,,to spread,,étendre,v.,Cot,,,,,,p013v_1,,,,,,
Estoc,,,vice,Occitan,étau,n.(m),panoccitan,http://www.panoccitan.org/lo-diccionari-de-loccitan-de-comunicason/,,,,,,,,,,,
Estoffe,,,stuff (fabric),,étoffe,n.(f),,,,,,,,,,,,,
Estoffer,,,to decorate,,étoffer,v.,,,,,29r,,,,,,,,
Estonner,,,to shake loose,,étonner,v.,DMF,,,,81v,,,,,,,,
Estonnement,,,fracas,,,n.(m),,,,,,p022v_1,,,,,,,
Estoupe,,,"tow (fiber of flax, hemp, or jute, prepared for spinning by some process of scutching)",,étoupe,v.,OED,,,,,,,,,,,,
Estouper,,,to stop,,étouper,v.,Cot,,,,,,,,,,,,
Esventer,,,evanesce,,éventer,v.,,,,,,p029v_6,,,,,,,
Experimenter,,,to experiment,,,v.,,,,,85v,,,,,,,,
,,,,,,,,,,,,,,,,,,,
F,,,,,,,,,,,,,,,,,,,
Fœu de chasse,,,,,,,,,,,,,,,,,,,
Fort de chasse,,,"donner fort de chasse, to excite",,,,,,,,f.83v,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Faisse,,,dregs,,fèce,n.(f),,,,,99v,,,,,,,,
Faire manger,,,to eat away (to corrode),,,v.,,,,,,,,,,,,,
Fantasie (à ta),,,as you fancy,,fantaisie,n.(f),,,,,,,,,,,,,
Fantasque,,,fanciful,,,adj.,,,,,118r,,,,,,,,
Faulcée,,,"breach (made by an explosive, e.g. a petard)",,,n.(f),,,,,,,,,,,,,
Faulcée (faire),,,"to penetrate, to pierce",,,v.,,,,,,,,,,,,,
Faulconeau,,,"falconet (according to the author-practitioner, a cannon weighing four quintals and 10 pans long, with shot weighing 1.25 lb and a powder charge of half a lb)",,fauconneau,,"OED | Smith Thomas, The complet soldier…, London, 1628",,,,,,,,,,,,
Faulfiler,,,to baste (i.e. to sew on loosely),,faufiler,v.,DMF | Centre National de Ressources Textuelles et Lexicales,http://cnrtl.fr/definition/faufiler,,,,,,,,,,,
Fayan,fayant,,beech tree,,,n.(m),Cot,,,,,,,,,,,,
Ferlin,,,"Meaning uncertain, possibly a kind of wool cloth known as ""wadnall"" in contemporary English",,felin,n.(m),"Cot | Markovitch, Industries lainières (1976) | Les étoffes: dictionnaire historique (1994)",https://books.google.com/books?id=A9xHnArfZSMC&pg=PA499&lpg=PA499&dq=%22felin%22+%22etoffe%22&source=bl&ots=ugVWSX5i-6&sig=czo1oRTO28atfk7JQUH8lUcm348&hl=fr&sa=X&ved=0ahUKEwjG7N_knbLNAhWMNz4KHWomB00Q6AEIHjAA#v=onepage&q=%22felin%22%20%22etoffe%22&f=false | https://books.google.com/books?hl=fr&id=7I_WAAAAMAAJ&dq=%22failin%22+%22laine%22&focus=searchwithinvolume&q=%22failin%22,,,,,,,,,,,x
Fer,,,iron,,,n.(m),,,,,,,,,,,,,
Fer blanc,,,"Meaning uncertain, possibly white latten",,,n.(m),Cot,,,,,,,,,,,,x
Fer doux,,,"""soft"" iron (as opposed to aigre i.e. ""brittle"")",,,n.(m),Merriam-Webster,http://www.merriam-webster.com/dictionary/ingot%20iron,,,,,,,,doux | aigre,,,
Fer de barre,,,ingot iron,,,n.(m),,,,,,,,,,,,,
Fermoir,fermouer,,closure (the closing part of a clay contour),,,n.(m),,,,,146r,,,,,,,,
Ferrements,,,iron fittings,,,n.(m),,,,,,,,,,,,,
Ferue,,,proportion,,,,DMF,,,,,,,,,,,,
Festu,,,a straw,,fétu,n.(m),,,,,"14r, 97v",,,,,,,,
Foeu,feu,,fire,,feu,n.(m),,,,,,,,,,,,,
Fiel,,,"gall, bile",,,n.(m),Cot,,,,,,,,,,,,
Fiens,,,dung,,"fiente, fumier",n.(m),,,,,76r,,,,,,,,
Fil du bois,,,the grain of the wood,,,n.(m),,,,,,,,,,,,,
Figuier,,,fig tree,,,n.(m),,,,,,,,,,,,,
Figuré,,1,figurated (decorated with human or animal figures as opposed to abstract ornaments),,,adj.,,,,,,,,,,,,,
Figuré,,2,fashioned,,,adj.,,,,,30r,,,,,,,,
Figure,,1,representation (in the abstract sense),,,n.(f),,,,,,,,,,,,,
Figure,,2,figure (where clearly referring to a material object),,,,,,,,,57v_1,,,,,,,
Filet,,,thread,,,n.(m),Cot,,,,,,,,,,,,
Filiere,,,file,,,n.(f),,,,,80v,,,,,coux,,,
Filière,,,wire-drawing plate,,,n.(f),,,,,,,,,,,,,
Filon de cire,,,wax sprue,,,n.(m),,,,,,p165v_a6,,,,,,,
Fin,,,"fine (in the case of metals, this means pure; in other cases it is often unclear whether it refers to quality or purity)",,,adj.,,,,,,,,,,,,,
Fiole,fiolle | phiole,,vial,,,n.(f),,,,,,p044v_3,,,,,,,
Flambeau,,,torch,,,n.(m),Cot,,,,,p021r_2,,,,,,,
Flasque,,,powder box,,,n.(f),Cot,,,,,p025,,,,,,,
Fletrir,,,to wither,,,v.,Cot,,,,,,,,,,,,
Fleur,,,flower (the whole plant or the bloom),,,n.(f),,,,,f.154v,,,,,,,,
Flin,felin,,"Meaning uncertain, possibly ""a thunder-stone, a kind of stone wherewith Cutlers furbish their blades” (Cotgrave)",,,n.(m),Cot,,,,"94v, 95r.",,,,,,,,x
Florée,fleurer | floree | florry | flouret | froury,,"Indigo pigment from the dark blue foam and scum on the surface of the woad (or indigo) dyeing vat. Flouret is probably the same thing. See also Indigo (cf PG). Also: fleurs de pastel (pastel being another term often used interchangeably with woad, as noted in Cotgrave under “Guesde”).  Kirby et al., p. 449, call it “florey”. Also see “fleuree” (fol. 73r), acc. to Cotgrave the scum of boiling any flowers.",,,n.(f),Cot | PG,,,,,,,,,,,,
Foeillet,,, leaf (folio or page),,feuillet,n.(m),,,,,162r,,,,,,,,
Foeu artificiel,,,artificial fire,,,n.(m),,,,,,p021r_2,,,,,,,
