Description,XPath Location,File,Location
gold,/root[1]/div[1]/ab[1]/m[5]/m[2],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p102v_preTEI.xml,"Start line 20:45
End line 20:45"
silver,/root[1]/div[1]/ab[1]/m[5]/m[3],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p102v_preTEI.xml,"Start line 21:1
End line 21:1"
oil,/root[1]/div[1]/ab[1]/m[2]/del[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p104v_preTEI.xml,"Start line 12:50
End line 12:50"
lead,/root[1]/div[1]/ab[4]/m[2]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p108r_preTEI.xml,"Start line 33:63
End line 33:63"
Latten,/root[1]/div[2]/head[1]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p111r_preTEI.xml,"Start line 22:10
End line 22:10"
plaster,/root[1]/div[3]/ab[1]/m[9]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p116r_preTEI.xml,"Start line 70:4
End line 70:4"
brick,/root[1]/div[3]/ab[1]/m[9]/m[2],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p116r_preTEI.xml,"Start line 70:44
End line 70:44"
wet alum,/root[1]/div[3]/ab[1]/m[9]/m[3],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p116r_preTEI.xml,"Start line 71:1
End line 71:1"
gold,/root[1]/div[2]/head[1]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p120r_preTEI.xml,"Start line 23:30
End line 23:30"
enamels,/root[1]/div[1]/ab[2]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p121r_preTEI.xml,"Start line 42:51
End line 42:51"
,/root[1]/div[3]/head[1]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p134r_preTEI.xml,"Start line 64:18
End line 64:18"
,/root[1]/div[1]/ab[1]/m[12]/df[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p135v_preTEI.xml,"Start line 37:44
End line 37:44"
verdet,/root[1]/div[1]/ab[1]/m[12]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p135v_preTEI.xml,"Start line 38:39
End line 38:39"
saltpeter,/root[1]/div[1]/ab[1]/m[12]/m[2],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p135v_preTEI.xml,"Start line 38:54
End line 38:54"
sal ammoniac,/root[1]/div[1]/ab[1]/m[12]/m[3],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p135v_preTEI.xml,"Start line 39:1
End line 39:1"
borax,/root[1]/div[1]/ab[1]/m[12]/m[4],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p135v_preTEI.xml,"Start line 39:27
End line 39:27"
linen,/root[1]/div[2]/ab[1]/m[3]/tl[2]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p139v_preTEI.xml,"Start line 29:29
End line 29:29"
of,/root[1]/div[1]/ab[1]/m[1]/m[1],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p161r_preTEI.xml,"Start line 10:61
End line 10:61"
,/root[1]/div[1]/ab[1]/m[1]/m[2],C:\Users\naomi\Github\m-k-manuscript-data\ms-xml\tl\tl_p161r_preTEI.xml,"Start line 12:1
End line 12:1"
