subject_tag,subject_label,subject_term,verb_lemma,total_count,objects
ms,Measurement,part,reheat,1,feather alum
ms,Measurement,quarters,make,1,a very liquid line
ms,Measurement,"Test for this effect with paper. If it turns the paper red, it is enough, it is good to cast, but if it blackens the paper, it is too hot.",blacken,1,the paper
ms,Measurement,"Test for this effect with paper. If it turns the paper red, it is enough, it is good to cast, but if it blackens the paper, it is too hot.",turn,1,the paper red
ms,Measurement,℥,grind,2,massicot (2)
pn,Personal Name,Angelius Bargæus,scripsit,1,monsieur Cathalogue des villes Calendrier des bergiers Grammaire italiene Arithmetique
pn,Personal Name,Aulus Gellius,make,1,a collection
pn,Personal Name,du Cros,make,1,a bill
pn,Personal Name,Livy,make,1,his xxiii book
pn,Personal Name,Servius,alii,2,Budæus Spartianus Blondus Volaterranus Herodotus Paulus Manutius Strabo Julius Firmicus Quintus Curtius Dion Cornelius Nepos Flavius Vopiscus; Julius Capitolinus
pn,Personal Name,St. Athanasius,make,1,mention
pl,Place,Cremonensis,scripsit,1,carmine de bombicum natura
pl,Place,English,have,1,grooms
pl,Place,English,mull,1,wine
pl,Place,Flemish,give,1,a layer
pl,Place,Flemish,make,1,one layer
pl,Place,Flemish,reglue,1,their earthen pots
pl,Place,Flemish,use,1,any whites
pl,Place,Germans,cast,1,their leads
pl,Place,Germans,make,3,minium boil; statues; their files
pl,Place,Germans,use,1,lead
pl,Place,Irish,drink,1,any wine
pl,Place,Italians,make,1,three shadows
pl,Place,Italians,varnish,1,their paintings
pl,Place,Levantines,refine,1,our steel
pa,Plant,Almond trees,lose,1,their sap
pa,Plant,Apricot trees,have,1,a very thin bark
pa,Plant,marigold,give,1,some color
pa,Plant,mosses,apply,1,Molding
pa,Plant,rose,have,1,great volume
pro,Profession,Artisans who work in large works,seek,1,one
pro,Profession,Candlemakers,make,1,a good candle
pro,Profession,Casters,take,1,that very yellow latten
pro,Profession,common people,make,1,emeralds
pro,Profession,curriers,do,1,that
pro,Profession,fellow,bend,1,his head
