div_id,categories,subject_tag,subject_label,subject_term,verb_lemma,verb_form,passive,obj_text,obj_tag,sentence
p010v_1,painting,m,Material,Alum water,keep,keeps,False,oil,m,"y brought to boil so that it is hardly strong. Next stir in a little honey to soften it, & make it boil all together. And on top of this layer, which will soon be dry, you will be able to paint in oil, which will soften the layer even more, and which can also serve you to make a seat for gold. Alum water also keeps oil from running."
p011r_1,painting,tl,Tool,sponge,remove,remove,False,the colored water,m,"nly good for landscapes because they die in oil. Only true azure holds on. Azur d'esmail cannot be worked if it is too coarse. Try it, therefore, on the fingernail or the oil palette. If it happens to be sandy, do not grind it except with the egg yolk or, better yet, wash it in clear water & with a sponge remove the colored water after it starts to go to the bottom, and in this manner you will extract the very delicate flower, which will be easy to work with."
p012r_1,casting,m,Material,soot black,give,gives,False,a fine sheen,,"One ought not to cast unless it is well cooled & unless it has lost all its pustules & bubbles, and has settled down well & become smooth like water. The soot black gives it a fine sheen & makes it neater. The most beautiful yellow sulfur must be used, for the greyish & lively one is not good. Do not cast in wind & in cold, for it would become porous."
p013r_1,painting,m,Material,Sublimated arsenic,make,makes,False,a beautiful flesh color,,"Sublimated arsenic, that is to say, the white one that is sold as stone, when ground on marble, mixed with vermilion or lake or minium, makes a beautiful flesh color that is always shiny. Yellow arsenic has a very beautiful color, the white one is good in oil and agrees well with the lake."
p013r_1,painting,m,Material,Yellow arsenic,have,has,False,a very beautiful color,,"Sublimated arsenic, that is to say, the white one that is sold as stone, when ground on marble, mixed with vermilion or lake or minium, makes a beautiful flesh color that is always shiny. Yellow arsenic has a very beautiful color, the white one is good in oil and agrees well with the lake."
p013v_5,tool;household and daily life,pro,Profession,Candlemakers,make,make,False,a good candle,tl,"Candlemakers never make a good candle when the Autan wind blows because the candle always tends to melt, however good the tallow they use for it."
p014r_1,household and daily life,al,Animal,Swallows,teach,taught,False,this craft,,"Swallows have taught us this craft, making their nests out of mud mixed with wisps & stalks of hay or straw to make it bond. Therefore, in places where stone & brick are lacking, one can use earth to make partitions & walls. And for this, light earth, which does not form clumps when plowed, but which is as"
p014r_1,household and daily life,m,Material,light earth,hold,holds,False,first rank,,"Swallows have taught us this craft, making their nests out of mud mixed with wisps & stalks of hay or straw to make it bond. Therefore, in places where stone & brick are lacking, one can use earth to make partitions & walls. And for this, light earth, which does not form clumps when plowed, but which is as if intermixed with arene, holds first rank, because it can be beaten & tamped down better. It is true that one needs to moisten it & cut it into the shape of sods with a ditch-spade, and thus place & arrange it. This one lasts longer and ther"
p015r_3,casting,m,Material,earth,drink,drink,False,the metal,m,"It is necessary that the sand be from something very dry & arid & reheated well in the frame, because, if it were humid, like founders' sand, the gold and silver would spatter, & cause damage. It is also necessary for the earth to drink the metal, for cast gold or silver becomes very spongy. That is why it must be beaten again, otherwise it is frangible, as one sees in spoon handles."
p016r_1,metal process,tl,Tool,blast-pipe,mark,marked,False,A,,"found a manner of melting not only brittle iron, such as the kind used for iron pots, but also soft iron such as that of pigs & ingots, which is the most difficult kind. And to this effect they make a furnace in this manner which has a width of one pan & a half & a depth of two pans. And the blast-pipe, which is the barrel marked A through which the bellows' pipes enter, has to be placed in the middle of the height of the furnace such that there is one pan of the mouth of the furnace above the blast-pipe & one pan underneath."
p016r_1,metal process,ms,Measurement,pan,contain,contains,False,one,ms,"Each pan of the mouth of the square furnace contains one & a half quintal, & the pan of the round furnace holds two quintals."
p016r_1,metal process,ms,Measurement,pan,hold,holds,False,two quintals,ms,"Each pan of the mouth of the square furnace contains one & a half quintal, & the pan of the round furnace holds two quintals."
p017r_1,arms and armor,wp,Weapon,great cannon,carry,carries,False,a range,,"The great cannon, because of the weight of its ball, carries a range of only a thousand or xii hundred paces without landing, & bouncing, it commonly bounces iii times."
p017r_1,arms and armor,wp,Weapon,cannon-perrier,have,have,False,a large effect,,The cannon-perrier does not have a large effect if not close.
p017r_1,arms and armor,m,Material,metal,cost,costs,False,xv lb & fine rosette xv,,"The good alloy for pieces is of three parts of rosette & one of the fine metal of large bells, where there is more rosette than in the metal of small bells. The metal commonly costs xv lb & fine rosette xv or xvi."
p017r_1,arms and armor,wp,Weapon,cannon,weigh,weighs,False,fifty-five or lx quintals,ms,"The large cannon, which is for great batteries, commonly weighs fifty-five or lx quintals. At the breech it carries the thickness of two balls & one of the three parts of one ball. At the front, it carries the thickness of one ball & two of the three parts. It is thirteen or fourteen pans long. But they are very tr"
p017r_1,arms and armor,wp,Weapon,cannon,fire,fire,False,4xx,,"d. It is true that one batters well from three or 4 hundred paces, but it is necessary to give it more powder. Its common load is of xx lb of powder, its ball of 40 lb. One needs xxv horses to draw it. When one fires it farther than its usual range, one puts in a half ladle of cannon powder more. A cannon can fire 4xx or a hundred shots per day, but one needs to refresh it every time after one has fired nine or ten shots, if the battery is steadily continued. For if there is a break, it is not necessary to refresh it as often. For two quintals of copper, or two quintals & a half if it is for large c"
p017r_1,arms and armor,wp,Weapon,cannon,make,makes,False,a bigger opening,,"Large culverins for battery & piercing are forty quintals & eighteen pans long. Their ball, of the King's caliber & for battery, is 30 lb and thus lighter than that of the cannon. And thus, it does not carry so much ammunition for fifteen lb suffices for its charge. The cannon makes a bigger opening due to the size of its ball, but the culverin hits more fiercely & propels faster, having greater force due to its length. At the breech it carries the thickness of two of its balls & the third part of a ball, at the front the thickness of one ball & two thirds. Culverins ser"
p017r_1,,wp,Weapon,bastarde,weigh,weighs,False,thirty quintals,,"The bastarde, which is a piece, weighs thirty quintals and its ball weighs xv lb and carries as its charge x or xii lb of powder. Its proportion is at the breech the thickness of two of its balls & the third part of a ball. At the front, the thickness of a ball & two of three parts. They serve to batter defence"
p017r_1,,wp,Weapon,bastard culverin,weigh,weighs,False,35 quintals,,"The bastard culverin weighs 35 quintals & is xxv pans long. It carries three balls at the breech & two in front. Its ball is like that of the bastarde piece, weighing xv lb. These are pleasure pieces which cannot be moved by carriage, but are for city defences. Some make these xxvii or xxviii pans long, like the Cow of"
p017r_1,arms and armor,wp,Weapon,field piece,weigh,weighs,False,ten or twelve quintals,ms,"The field piece weighs ten or twelve quintals & is ten pans long or 12. Its ball weighs vi or vii lb & its charge is 4 lb of powder. At the breech it has three balls & two in front, as do all pieces that are smaller than the average. One gives them more of a breech because one makes them longer in proportion, and"
p017r_1,arms and armor,ms,Measurement,At the breech it has three balls & two in front,have,has,False,three balls,ms,"The field piece weighs ten or twelve quintals & is ten pans long or 12. Its ball weighs vi or vii lb & its charge is 4 lb of powder. At the breech it has three balls & two in front, as do all pieces that are smaller than the average. One gives them more of a breech because one makes them longer in proportion, and also because in a house or elsewhere one fires them more frequently than the large pieces. Their caliber is also small, which makes th"
p017r_1,arms and armor,wp,Weapon,passe-volant,weigh,weighs,False,vi quintals,ms,"The passe-volant weighs vi quintals, is eight or nine pans long. Its ball weighs two lb, &, for its charge, a lb & a half of powder. At the breech it has three balls & two in the front. Two horses can move it, for a single horse does not begin to move a piece. It is used for the defense of houses, or for taking amo"
p017r_1,arms and armor,ms,Measurement,At the breech it has three balls & two in the front,have,has,False,three balls,ms,"The passe-volant weighs vi quintals, is eight or nine pans long. Its ball weighs two lb, &, for its charge, a lb & a half of powder. At the breech it has three balls & two in the front. Two horses can move it, for a single horse does not begin to move a piece. It is used for the defense of houses, or for taking among the infantry to break a rank of cavalry."
p017r_1,arms and armor,wp,Weapon,double musket,weigh,weighs,False,2 quintals,,"A double musket weighs 2 quintals, is seven pans long, carries a ball of a quarter of a lb or a little less. At the breech 3 balls, two in front. One loads it with as much powder as ball, up to the top of the escutcheon, which in these small pieces can amount to 3 or 4 balls of arquebus powder. For if one uses can"
p017r_1,arms and armor,wp,Weapon,simple musket,weigh,weighs,False,quintal,ms,"A simple musket weighs one quintal, is six pans long. One has no consideration for those which are under two quintals, which readily carry lead balls of the weight of the ball, but of the caliber. However, those which can receive balls of metal or iron do better because they will penetrate more than six lead ones."
p020r_2,glass process,ms,Measurement,bundle,cost,costs,False,x,,"d, which happens because the glassmakers, having made it, put it when totally hot on straw, which stains it in this way. However, this is removed with varnish & salt & other drugs that the glassworkers put on. Glass from Lorraine is sold by the bundle & each bundle is composed of three tablets. The bundle costs usually x sous. Plate glass is made in France, it is whiter & clearer, but alternately it is not so durable as that from Lorraine. It is also commonly blown & in that case, it is better to make little diamonds rather than large square pieces in the shape of a frame, because they cannot be set"
p020r_2,glass process,df,Definition,panier,contain,contains,False,24 plates,ms,Plate glass is sold by paniers. Every panier contains 24 plates that are commonly sold at x or twelve lb.
p021r_1,arms and armor,wp,Weapon,cannon,tend,tends,False,more,,"To point a cannon, that is to say to take its aim, one needs to take the sight, that is to say aim, from the sides before the top, that is to say above the cannon. For by aiming along the top, you will be better able to find the line tending to your target, but you would not find out if the cannon tends more to one side than the other. Therefore take your sight on one side, then on the other & adjust your piece to the point at which you aim. Then take your sight from the top of the breech, which will be done quickly. Next, lower your piece a little at your discretion if you are within true r"
p021r_1,arms and armor,wp,Weapon,cannon,tend,tends,False,to one side,,"To point a cannon, that is to say to take its aim, one needs to take the sight, that is to say aim, from the sides before the top, that is to say above the cannon. For by aiming along the top, you will be better able to find the line tending to your target, but you would not find out if the cannon tends more to one side than the other. Therefore take your sight on one side, then on the other & adjust your piece to the point at which you aim. Then take your sight from the top of the breech, which will be done quickly. Next, lower your piece a little at your discretion if you are within true r"
p021v_1,arms and armor,pro,Profession,gunner,rivet,rivets,False,the nail,tl,"Some say that one should remove the ball if the cannon is loaded & give fire through the mouth of the cannon. But it is to be believed that the fire would sooner exit that way than going to seek its exit through its usual touch-hole which is spiked & constrained. The most reliable way is that the gunner, who is often a founder, wedges & thoroughly rivets the nail that the enemies placed, and with a trepan makes another touch-hole next to the one which has been spiked, which will be done in an hour. And if with time the violence of the powder loosens the nail with which the piece is spiked, you wil"
p021v_1,arms and armor,tl,Tool,trepan,make,makes,False,another touch-hole,,"cannon. But it is to be believed that the fire would sooner exit that way than going to seek its exit through its usual touch-hole which is spiked & constrained. The most reliable way is that the gunner, who is often a founder, wedges & thoroughly rivets the nail that the enemies placed, and with a trepan makes another touch-hole next to the one which has been spiked, which will be done in an hour. And if with time the violence of the powder loosens the nail with which the piece is spiked, you will make a thread in the second touch-hole & place a screw in it quite perfectly which will never come und"
p021v_2,arms and armor,wp,Weapon,Grenades,cause,cause,False,great damage,,"at has a greater effect for the defense of a breach than petards placed at the entryway at the time of the assault. They carry a lot of ammunition. One fills them with cart nails, large steel dice, bits of chain & similar things. And when one senses that the enemies are close, one sets fire to all. Grenades, too, well-made and aptly thrown, cause great damage. And to make them worse, one puts coarsely pestled glass either in the molds or in the crucible, when one wants to cast them; this worsens the wounds. The grenades ought not to be too brittle. But it is good that they be somewhat alloyed with the"
p023r_1,arms and armor,wp,Weapon,petard,push,pushes,False,the pegs,tl,"a short stick which has play within the ring. And the pegs are placed in the door not straight for they would not have any strength, but at an angle as if you wanted to fix them toward the middle of the petard, and to do this, the hole of the handles needs to be quite large. In this way, the firing petard pushes the pegs along & across into the door & makes more of a breach. Once it is placed, you need to have a buckram sausage made in this manner: take eight or nine canes of buckram strip or more if the ditch is larger, and let the strip be four or five fingers wide. Have it well sewn in such a way"
p024r_1,arms and armor,wp,Weapon,grenade,weigh,weigh,False,four to six lb,ms,"find, for there is fine metal and crude metal. Fine metal is that of a large bell, because one puts in more copper to give it a bigger voice, & for small bells one puts more tin to give it a clearer sound. The metal of a large bell is made with 3 quintals of rosette & twenty or xxv lb of tin. Each grenade must weigh four to six lb. And in order to throw them, it is necessary that they be full of powder mixed with coarsely pestled glass. And for a quarter lb of powder, one needs half an ounce of glass which is put with it, in order that on the face or places where the powder will have its effect, the"
p024r_1,arms and armor,m,Material,powder,have,have,False,its effect,,"y or xxv lb of tin. Each grenade must weigh four to six lb. And in order to throw them, it is necessary that they be full of powder mixed with coarsely pestled glass. And for a quarter lb of powder, one needs half an ounce of glass which is put with it, in order that on the face or places where the powder will have its effect, the wounds will be all the worse for it. The best arquebus powder is required here. The hole needs to be as large as the thickness of a swan's quill, & you need not bother to make it threaded, but it is enough to make it even. Next, you make a well-soldered pipe of fer blanc,"
p024v_1,,pro,Profession,pioneers,bring,bring,False,gabions,,", disdaining the battery, do not make repairs there. Commonly, there are not many garrets & other defenses in that place. And when one has made a breach at the strongest part & the cannon removed, it will surprise the assailed. One approaches fortified towns at night, but to poorly fortified towns, pioneers bring gabions and once these are placed, one puts some boards or planks behind the gabions to keep the pioneers safe, while behind, they fill the gabions with some earth by means of their shovels. And while one does this, one raises some false alarm on another side. And before, one has"
p024v_1,,pro,Profession,pioneers,carry,carry,False,the boards,,"fired a volley at the defenses. The pioneers carry the boards to make a level ground or a platform of four fingers or half a foot thick, and one sets them into the earth. The platform is five or six feet larger than the wheels of the cannon on each side if there is only one cannon. But if there are more, the platforms touch. The distance whic"
p024v_1,arms and armor,wp,Weapon,piece,have,has,False,its own frail,tl,"a hundred paces away from the battery & one surrounds them with barricades or trenches. And there one goes to get powder in bags or frails. And each piece has its own frail for loading three or four times. Then, when the cannon is set on the platform, one puts a board that is proof of an arquebus between two gabions. Then a gunner loads it with a ladle, & with the rammer which is at the other end of the ladle, two men ram the powder as much as they c"
p024v_1,arms and armor,wp,Weapon,cannon,need,needs,False,3 gunners,pro,"ward with bars, keeping to one side behind the gabions without taking off the board until the cannon reaches it. Once the cannon is in front, the gunner mounts it with the wedges which are at the back, taking the sight on each side and then in the middle. Then another who is nearby gives fire. Each cannon needs 3 gunners: the loader, the one who aims, the one who gives fire. Sometimes, against a camp or into a breach, one shoots cartridges, made as you have elsewhere, or else one uses a basan full of flint stones, cart nails & similar. A cannon must not move unless it has two harnesses, be they of w"
p025v_1,arms and armor,pro,Profession,gunners,prefer,prefer,False,a piece,wp,"one for big pieces, but for small pieces lesser than the average, one needs to observe the aforesaid proportion, & draw the piece in a continuous line from one end to the other. The trunnions are commonly situated one foot from the ring of the middle, toward the edge of the breech. But because some gunners prefer a piece which is weighted at the front because it is easier to plant, to do this, one only needs to move the trunnions closer to the breech & further away from the middle. On the contrary, if you want to render it more weighted at the back, you will move the trunnions closer to the middle of"
p025v_1,arms and armor,wp,Weapon,piece,break,break,False,that,,"e sixteen channels or notches in which you will slot sixteen blades quite evenly, in order that all together they cut & scrape in the same manner. Because if some were to not cut & scrape, chambers & waves would be made in the cannon which would make it lopsided and there would be a danger that the piece might break in the middle. In order to avoid this, it is necessary that the borer should pass evenly from the breech to the mouth, & that the opening of the piece should be evenly bored from one end to the other, because thus the powder goes off all at once with more force. On the contrary, if rest"
p026r_1,arms and armor,tl,Tool,borer,take,takes,False,more,,"This is the true measure of the caliber, but the borer always takes away a little more."
p026r_2,arms and armor,m,Material,powder,make,makes,False,more,,"form, narrower at the bottom & becoming larger toward the muzzle. It is necessary to pestle the powder thoroughly & put on top of it either sand or cork or better still a fitted plate of wax thoroughly pestled on top, for it seals precisely & makes for greater force. The ball only makes a hole, the powder alone makes more of an effect. One holds that, once loaded & kept in a dry place for fifteen days, they have more force."
p028r_1,arms and armor,wp,Weapon,piece,weigh,weighs,False,how many quintals,ms,The numbers and dots show how many quintals the piece weighs that carries the marked caliber.
p028v_1,,pro,Profession,sworn master pewterers,add,add,False,lb,ms,"Commonly, the sworn master pewterers from bonnes villes add six lb of fine lead or eight on a quintal of fine tin. The others, who work in the countryside, put fifteen or 20 or as much as they can, and to cover up the blackness of the lead and its softness, they put in looking-glass tin, 4 lb per quintal, which whitens & hardens, and"
p028v_1,,pro,Profession,"others, who work in the countryside",put,put,False,fifteen,,"Commonly, the sworn master pewterers from bonnes villes add six lb of fine lead or eight on a quintal of fine tin. The others, who work in the countryside, put fifteen or 20 or as much as they can, and to cover up the blackness of the lead and its softness, they put in looking-glass tin, 4 lb per quintal, which whitens & hardens, and six or eight lb of rosette on a quintal to render the plate sonorous."
p029r_1,casting,m,Material,stucco,have,has,False,the quality,,"come matte, strong, white and light, very suitable for making a seat for burnished gold. And this, in powder form, you can mix, instead of flour, with tragacanth gum, and your work will be very beautiful. Lacking plaster, you can mix in well ground chalk or ceruse, & try bole & similar things. This stucco with the tragacanth gum has the quality that, yielding when it is not yet dry, it can be accommodated on either round or flat things, as you like. It is to make an ornament at little expense."
p029v_6,,m,Material,water,take,took,False,a slight tint,,"I put it in common eau-de-vie, mixing in some aquafortis to give it strength. At the beginning the water took on a slight tint, but at the end there was only an appearance of tragacanth gum with which I think they adulterate the dragon's blood."
p030r_2,casting,tl,Tool,mold,cost,costs,False,fifteen or sixteen frans,cn,"They also make their molds from metal which lasts longer & molds more cleanly than grais, because the plate comes out without flashing & smooth. But this is for the rich because a mold costs fifteen or sixteen frans. They are mainly made of metal, for basins & ewers & salt cellars & similar things which are fashioned."
p031v_1,painting,pro,Profession,Scribes,achieve,achieve,False,darkening,,"Scribes achieve darkening of lake & other colors for garments with egg yolk, but this is trumpery and does not last."
p032r_3,painting,pro,Profession,painters,make,make,False,batture,m,"Common painters & scribes make batture, that is joiner's glue tempered with water on the fire, moderately clear, mixed with very little honey, that is to say a few drops to make it stick. And with it they form letters, or that which they want to gild, with a paintbrush, and immediately after layer the gold, but th"
p033v_2,tricks and sleight of hand,pro,Profession,fellow,bend,bend,False,his head,bp,"his forehead. Then removing your thumb from over the hole on the top edge, the air, being free, will make the wine issue from between the double walls through the hole marked B, & fall through the tip marked C into the glass. But you must make the fellow bend his head enough in order to do it well."
p034v_1,tricks and sleight of hand,tl,Tool,boxes,place,placed,False,one,,"tance. Also, that which enters the large box must be smooth, but the rim must be made with rings so that, being joined, it appears as if they are one and the same box. You must also have a round leather cover of the same length as the box, as you see marked C, which fits easily & surrounds the said boxes thus placed one within the other. But before you do your trick, you must put at the bottom of the larger box powdered gold or silver, or mercury amalgamated with silver, and then place the little box marked B on top. Next, holding the box with your index finger on top, you present it, and seeing on"
p036v_1,casting,m,Material,Latten,lose,lose,False,its calamine,m,"Latten does not lose, or only slightly, its calamine in an four à vent when it is melted in a crucible, nor in a wood furnace, but it does in a bellows furnace because bellows give violent fire."
p036v_1,casting,tl,Tool,bellows,give,give,False,violent fire,,"Latten does not lose, or only slightly, its calamine in an four à vent when it is melted in a crucible, nor in a wood furnace, but it does in a bellows furnace because bellows give violent fire."
p037v_2,glass process,pro,Profession,glassworker,have,has,False,a stench,sn,"Some do not apply gris d'escaille to the glass for painting on glass, but trace on the clean glass with noir à huile. But it is very necessary that the wood be rid of grease, for if it has grease, however little, the color will not take on it at all. And likewise, if the glassworker who is working has a stench from his nose or his mouth, & he breathes on the glass, the color will not take on it. Those who discovered the invention of working in small works of soft enamels use only esmail d'azur, which is blue, & esmail colombin, which is the color of purple, which they soften w"
p037v_3,stones,m,Material,Amber,lose,loses,False,its color,,"ain pulverized salt over it, which an Englishman called desramonet. But I suppose that this was pulverized pumice stone, for it had the harshness of arène. And with a taut cord, he polished his amber, then passed tripoli from Bretagne on it with the finger, others with a piece of leather or a cane. Amber loses its color if an unhealthy person wears it, & becomes whitish. But to restore it, it needs to be soaked for one night in urine, then boiled a little in it."
p038r_2,dyeing,pa,Plant,marigold,give,gives,False,some color,,"It is counterfeited & augmented with marigold leaves half-dried, & twisted like a thread, & put in the hottest sun to dry, & is mixed, & the said marigold even gives some color."
p038r_3,stones,pro,Profession,Stone cutters,choose,choose,False,old pieces,,"Stone cutters sometimes choose old pieces of antique glass in church windows, which are much thicker than those of today & are of more lively colors. If it is for sapphire, they choose beautiful blue & from such a place that there are no grains, if it is possible. And having cut it in squares with emery, they cu"
p038v_6,dyeing,ms,Measurement,aulne,cost,costs,False,lb,cn,"Because one aulne costs seven or eight lb to dye, they use cloths worth seven or eight francs an aulne. But whoever wants something beautiful should buy white cloth worth fifteen francs an aulne & have it dyed with pure scarlet pastel woad & a little cochineal. Black cloth is thin so that the dyeing is inexpensive."
