start-line,start-column,end-line,end-column,severity,systemID,description
34,2,34,8,error,/Users/terry/Github/ms-xml/tc/033v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
17,20,17,24,error,/Users/terry/Github/ms-xml/tc/034r_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
26,2,26,8,error,/Users/terry/Github/ms-xml/tc/035v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
23,2,23,8,error,/Users/terry/Github/ms-xml/tc/036r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
61,2,61,8,error,/Users/terry/Github/ms-xml/tc/062v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
54,2,54,8,error,/Users/terry/Github/ms-xml/tc/080r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
63,2,63,8,error,/Users/terry/Github/ms-xml/tc/080r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
31,2,31,6,error,/Users/terry/Github/ms-xml/tc/093r_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
59,2,59,8,error,/Users/terry/Github/ms-xml/tc/094r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
74,2,74,8,error,/Users/terry/Github/ms-xml/tc/094v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
83,2,83,8,error,/Users/terry/Github/ms-xml/tc/094v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
46,7,46,9,error,/Users/terry/Github/ms-xml/tc/100r_tc_preTEI.xml,"element ""tl"" not allowed yet; missing required element ""margin"""
