folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
001r	p001r_1	[Liste de noms]	[Liste de noms]	[List of names]	lists									fleur de pastel		pastel	rue de la heaumerie a limage sainct claude;faulxbourgs de sainct germain;rue des escrivains;sainct Jaques de la boucherie	Mestre Nicolas Coste;Mestre Jehan Cousin;Mestre Jehan Garnier	mestre;courroyeur						
001r	p001r_2	[Liste]	[Liste]	[List]	lists														moissonneur						
001r	p001r_5	[Liste de livres et d'autheurs]	[Liste de livres et d'auteurs]	[List of books and authors]	lists												Alexandria	Alexander Aphrodisæus;Polydorus vergilius;Appianus;Athenæus;Pausanias;Servius;Macrobius;Festus;Nonius;Magius;Pollux;Higinus;Seneca;Dionisius Halicarnassensis;Sabellicus;Iulius Capitollinus;Budæus;Spartianus;Blondus;Volaterranus;Herodotus;Paulus Manutius;Iulius firmicus;Quintus Curtius;Dion;Cornelius Nepos;Flavius Vopiscus							
001r	p001r_3	[Liste de livres]	[Liste de livres]	[List of books]	lists					aucupio							urb. rom.;Italiene;Lyon	Savonne;Synesius;Olaus Magnus;Mestre Bernard palissi	historicus;bergiers;inventeur des rustiques figulines;roy;royne mere						
001r	p001r_4	[Liste de livres]	[Liste de livres]	[List of books]	lists					Aquatilium animalium							Romæ								
001r	p001r_3		[Liste de livres]	[List of books]	lists												Normandie								
001v	p001v_1	Pour lascher le ventre	Pour lascher le ventre	For easing the belly	medicine					poulet	ventre;estomac			pruneaux de Sainct Antonin;foeilles de mauves & de viole;sucre;canelle;bouillon de poulet;racine de guimave;cirop de guindoles doulces;eau		pruneaux;mauves;viole;canelle;guimave;guindoles	Sainct Antonin					Pour lascher le ventre;pour lestomac;remollitive;lasche le ventre			
002r	p002r_1	Livres a recouvrer	Livres à recouvrer	Books to recover	lists																				
002r	p002r_2	Contre douleurs	Contre douleurs	Against pains	medicine									Huile de tourmentine;huile de jacob;sel tire de la cendre de choux		choux						Contre douleurs			
002v	p002v_1	[Liste de livres]	[Liste de livres]	[List of books]	lists												brescia	vincenzo sabio							
002v	p002v_2	esmeraldes de Brissac	Esmeraldes de Brissac	Emeralds of Brissac	stones									esmeraldes de Brissac;minium;christal;marbre;verdet;lute	℥;|ʒ|;heures;grains		Brissac				marbre;croiset couvert dun aultre bien lute qui ait un trou dans le hault;lute				
002v	p002v_3	safir	Safir	Sapphire	stones									safir;Caillous;christal;minium;sel de febvre;coryal	℥;grains;heures				febvre						
003r	p003r_1	Coral contrefaict	Coral contrefaict	Counterfeit coral	stones									Coral contrefaict;boys;branche despine;poix resine claire;vermeillon broye;huile de noix;laque platte de venise;resine;charbon;colophonie;rousine;plombe;eau;gros caneva;estamine bien claire;vinaigre;coral;mastic;rousine purifiee;soufre;vermeillon;desmail de gueule;ciment;verre que de pile;brique;esmail de gueule;esmails	lb;once;heure;quarte partie	noix	venise				pot plombe;brasier;baston;gros caneva;estamine bien claire;lime;pile			La colophonie	
003r	p003r_2	Vernis pour tableaulx	Vernis pour tableaulx	Varnish for panels	varnish						doigt	sols	a lombre;au soleil;pluye	Vernis;tourmentine de venise;huile de tormentine;charbon;huile;tormentine;tourmentine;huile de tourmentine;vernis;vernist;vernis de mastic;rousine	lb		venise				pot;doigt				
003r	p003r_3	Gros vernis pour les planchers	Gros vernis pour les planchers	Thick varnish for planks	varnish			continued						Gros vernis;vernis;huile de lin;aux;bled;grosse tourmentine commune											
003v	p003r_3				varnish		CONTAINS FIGURE		continues			sols	au soleil	tourmentine fine;tourmentine commune;huile de tourmentine fine;huile de tourmentine;tourmentine ce soict ou fine ou grossiere;eau froide;colophoine;pix græca;eau de vye;cuivre;charbon;vernis;estame	lb;seau en heure;seau						vaisseau;fourneau;vaisseau de cuivre;trepier				
003v	p003v_1	Pour vernir	Pour vernir	For varnishing	varnish									vernis de tourmentine;cole;bois;aspic;sandaraque;fer;gomme;colle de destrempe;colle de retailles											
004r	p004r_1	Vernis dhuile daspic	Vernis d’huile d’aspic	Varnish of spike lavender oil	varnish						doigt			Vernis dhuile daspic;huile daspic;gomme de sandaraque en pouldre;sandaraque;charbon;vernis;sandaraque pulverisee;hebene;tourmentine fine;vernis de lin;tourmentine;mastic pulverise;plastre;colle de retaille;vernis dhuile daspic	lb;onces				quadraniers;quiterniers		assiette;doigt		quiterniers		
004r	p004r_2	Pour oster le vernis dun vieulx tableau qui est jaunastre & le vernir de nouveau	Pour oster le vernis d’un vieulx tableau qui est jaunastre & le vernir de nouveau	For removing varnish from an old panel that is yellowish & varnishing it anew	varnish								au soleil	vernis;savon blanc;cendree tamisee;eau;cendre;savon;vernis de tourmentine	seau;un quart dheure						tamisee;esponge;seau				
004v	p004v_1	Vernis noir pour garde despee bandes de bahus &	Vernis noir pour garde d’espée, bandes de bahus &c	Black varnish for sword guard, bands for trunks, &c	varnish;arms and armor						joinctee	sols	basse court;lieu descouvert	Vernis noir;huile de lin;huile de noix;aulx;oignons;queues de pourrceaulx;crostes de pain;huile;poix noire;bled de froment;poix;fer;charbons;vernis;fumera;vernis noir;geyct;Galipot;gousses dail pelees;sables	un bon quart dheure;lb;la grosseur dune noix;joinctee;patenostres;un demy jour	lin;noix;aulx;oignons;queues de pourrceaulx;bled de froment;ail			fourbisseur		plume;broisse				
004v	p004v_2	Vernis noir sans foeu sans demonter les harnois ou deffaire les bandes des bahus	Vernis noir sans foeu, sans demonter les harnois ou deffaire les bandes des bahus	Black varnish without fire, without disassembling the harnesses or removing the bands from trunks	varnish									Vernis noir;vernis dhuile daspic;noir a noircir;noir de lampe;vernis de tourmentine		aspic					broisse				
004v	p004v_3	Vernis des graveurs sur le fer	Vernis des graveurs sur le fer	Varnish of iron etchers	varnish			continued						Vernis des graveurs sur le fer;huile de lin;huile de noix;poix noire;poix resine;vernir noir;fer;vernis;fumera;acier;sel;verdegris;vinaigre bien fort	heures	lin;noix			graveurs sur le fer		poincte dacier;esponge				
005r	p004v_3				varnish				continues					linge	heures	linge									
005r	p005r_1	Mirouers dacier	Mirouers d’acier	Steel mirrors	casting;metal process;practical optics									acier;potee desmery;cuivre franc;rosette;estain;cuivre de rosette;estain doux;cuivre;pierre blanche;huile;plastre;sable menu;arene;tripoli de venise;potee;eau;tripoli	moictie		venise				potee desmery;moule;creuseau;moule de pierre blanche poinct oeilletee;sable menu;arene;tripoli de venise;potee;tripoli			cuivre franc;estain doux	
005r	p005r_2	Mirouers concave	Mirouers concave	Concave mirrors	practical optics			continued			visaige;poil de la barbe				pas					regarder;regardes	mirouer concave				
005v	p005r_2				practical optics				continues		teston;lieulx secrets;doigt;petit doigt		fenestre;rue;porte percee dune chambre fermee;soleil	papier;paille;chandelle	au bout de la table;petit doigt;milieu de la foeille			ptolomee;Archimedes	femmes;Chirurgiens	touches	mirouer concave;chandelle;fenestre;mirouer;table;foeuille de papier;foeille;foeille de papier				
005v	p005v_1	Pour bronser de blanc et jaulne	Pour bronser de blanc et jaulne	For bronzing in yellow and white	metal process;decorative									estaim de glace;argent vif;cendre;eau nette;mabre;eau de ret colle de retaille;bois;limaille despingle;colle	demy lb;demy once						mabre;dent				
006r	p006r_1	Pour poser et assoir dor bruny et donner rouge ou verd ou bleud	Pour poser et assoir d’or bruny et donner rouge ou verd ou bleud	For laying down and seating burnished gold and giving red or green or blue	painting					mouton			a la pluye	or bruny;ceruse;blanc de plomb;or mat;huile;ocre;mine;plomberies dorees;bonne craye bien blanche bien broyee;colle a destrempe;bois;prele;queue de cheval;fin boli armeni;sanguine;suif de mouton;febve;poys;bol;charbon de saule;suif;safran;sucre candy;eau;gomme;colle;or;eau claire;rouge cler;laque platte de venise;mabre;huile de noix ou de lin;vernis de tourmentine ou daspic;bresil;laque ronde;verd de gris;vernis de tourmentine & non de aspic;verdegris;azur;argent bruny;azur desmail;vernis de tourmentine	une demy coquille de nois	prele;queue de cheval;febve;poys;saule;nois;safran;noix;lin;aspic;bresil	armeni;venise				prele;queue de cheval;drap;pinceau;mabre				
006v	p006v_1	Pour ga cach cages	Pour ga cach cages	For ga cachcages	glass process		CONTAINS FIGURE				main			canulles desmail;fil darchal ou de fer;bois;cendre	grandeur dun pot doeillets	oeillets			boutonniers aussi de verre		canulles desmail;canulles;lime qui couppe;modelle de bois;rechault;lampe;petit fourneau;four de reverberation;canulle;pincettes a long bec;pincette;fourneau;lime;grille;four				
006v	p006v_2	Pour stampes a embellir et incruster ou revestir le bord des mirouers ou dessus de coffres ou frises des pantes de lict	Pour stampes à embellir et incruster ou revestir le bord des mirouers ou dessus de coffres ou frises des pantes de lict	For stampings to embellish and encrust or cover the edges of mirrors, the tops of chests, or the friezes of bed valances	decorative;household and daily life									fer;cuivre;eau fort;estain doulx;marbre poly;bois;plomb;estain;estaim;feultre;dore							burin;ciseau;marbre poly;planche de bois;presse a rouleaux;piece de feultre;marteau				
007r	p007r_1	Pour dorer dor couleur et dor bel	Pour dorer d’or couleur et d’or bel	For gilding with gold color and tinsel	painting					perdrix			au soleil;a la pluye	or couleur;or bel;estain;fer;cuivre;colle;bois;huile gras;huile de noix;blanc de plomb;huile;massicot;mine de plomb;minium;or;cotton;fumee de perdrix ou de drap rouge ou jaulne;drap;velours;satin;colle forte	jours										
007r	p007r_2	Pour colorer bahus stampes	Pour colorer bahus stampés	For coloring stamped trunks	decorative;painting;varnish									lamine de cuivre ou letton;bois de cormier;laque;verdet;azur desmail;vernis de tourmentine;azurer;fer blanc;azur		cormier									
007r	p007r_3	Doublets	Doublets	Doublets	stones					dragon				sang de dragon;eau de vye;mastic;colle;verd de vessie;safran		safran									
007r	p007r_4	Colle de poisson ou usblac et colle de bouche	Colle de poisson ou usblac et colle de bouche	Fish glue or isinglass and mouth glue	tool					poisson;moulue	bouche			Colle de poisson;usblac;colle de bouche;peau de moulue;salee;collent;eau qui ne bouille gueres;ratisseures de parchemin;coller;papier;eau de vye;vinaigre;vin blanc	nuict				menusiers;quiternier		bouche		quiternier		
007v	p007v_1	Pour donner couleur de toute sorte de metaulx au boys & aultre chose	Pour donner couleur de toute sorte de metaulx au boys & aultre chose	For giving the color of all kinds of metals to wood & other things	wood and its coloring									metaulx;boys;pierre de touche;pierre ponce;colle de retailles;metal											
007v	p007v_2	Contre la colique venteuse	Contre la colique venteuse	Against windy colic	medicine						matrice			noix communes seiches;verre;bon vin;vin;noix	douzaine;moictie;dose	noix					brasier;pincettes;verre de bon vin	Contre la colique venteuse;contre la suffocation de matrice			
007v	p007v_3	Pour oster la douleur de la G.	Pour oster la douleur de la G.	For relieving the pain of G.	medicine						urine			marquasite doree & jaulne subtillement pulverisee;storax;urine;fumee;lute;cuivre;linge;eau	demy lb;demy once;lb						mortier;pot;alembic bien lute & couvert dun chapiteau de cuivre;lute;linge	Pour oster la douleur de la G.			
007v	p007v_4	Contre gonhorrea	Contre gonhorrea	Against gonorrhea	medicine									Aquae fabrorum antiquae;boli armeniae;mellis communis;mellis	lb;℥;ʒ				fabrorum			Contre gonhorrea;injectionem			
008r	p008r_1	Lettre dor sur papier	Lettre d’or sur papier	Lettering of gold on paper	painting									or;papier;laict de figuier;or en feuille;linge		figuier					linge				
008r	p008r_2	Pour rompre grenades et donner violence aux artifices de foeu	Pour rompre grenades et donner violence aux artifices de foeu	For bursting grenades and giving force to fireworks	arms and armor									pouldre;vif argent	six fois autant;la sixiesme partye										grenades;artifices de foeu
008r	p008r_3	Trempe de balle pour fausser armes a preuve	Trempe de balle pour fausser armes a preuve	Tempering of balls for piercing armor of proof	arms and armor									plomb;plus fort vinaigre;lard;linge;bourre											harquebuse;pistole
008r	p008r_4	Pour de nuict fayre bresche en une muraille	Pour de nuict fayre bresche en une muraille	For making a breach in a wall by night	arms and armor								muraille	pouldre											mortier
008v	p008v_1	Polissement du ruby balay	Polissement du ruby balay	Polishing of the balas ruby	stones									ruby balay;tripoly;pouldre de marchasite;huile							tripoly;pouldre de marchasite				
008v	p008v_2	Or et argent moulu	Or et argent moulu	Or and argent moulu	painting									Or et argent moulu;or fin;☿;mercure;mabre;eau gommee;argent;eau fort;cuivre							mabre;lame de cuivre				
008v	p008v_3	Polissement de pierres	Polissement de pierres	Polishing of stones	stones									pierres;estain;plomb;cuivre fin;cuivre;diamant;rubi;saphir;jacinthe orientale;esmeraulde;ametiste							roues une destain de plomb & de cuivre fin;roue de cuivre;roue destain				
008v	p008v_4	Mixtion des pintiers	Mixtion des pintiers	Mixture of Pewterers	casting									fin estaing;plomb;estaing;limaille de letton	moictie				pintiers	sourd;sonnant					
008v	p008v_5	Amalgame parfaict	Amalgame parfaict	Perfect amalgam	casting									grais;☿;eau;☾;☼;eau fort;♀	huictiesme partye						grais				
009r	p009r_1	Laboureur	Laboureur	Plowman	cultivation								a la frescheur & aux rays de la lune	bled		millet;mil;pomole;baillard;febves	gascoigne;france		Laboureur;mestiviers						
009r	p009r_2	Painctre	Painctre	Painter	painting														Painctre		plume;pinceau				
009r	p009r_3	Marchant	Marchant	Merchant	merchants								jugement						Marchant;aprentifs						
009v	p009v_1	Painctre	Painctre	Painters	painting									orpiment;verre;cendres bien chauldes;grenats;esmail rouge;huile;sel commun;vert de terre					Painctre		bouteille de verre;mattelas				
009v	p009v_2	Marchant	Marchant	Merchant	merchants														Marchant;Marchans						
009v	p009v_3	Brouillart	Brouillart	Waste book	merchants							livres;t.;lb t.		toille babtiste	cane;livres Canne;t.;Canne;livres;lb t.			francois du Cros;Francois du Cros;du Cros;sainct andre							
010r	p010r_1	Jaspe contrefaict	Jaspe contrefaict	Counterfeit jasper	stones;decorative									Jaspe contrefaict;verre;corne;jaspe;cornalines;pierres;roses;tourmentine claire;vernis daspic;huiler;huile daspic;limaille de talc ou despingle;ciment;gomme armoniac;vinaigre;jaspe grumeleux;laines a gros poil;or & argent en foeille;tourmentine;argent;foeille destaing;colle forte		roses;aspic					limer;rabot				
010r	p010r_2	Scudegrun	Scudegrun	Stil de grain yellow	painting									Scudegrun;suc de gaulde;croye;ceruse;destrempe;huile			lyon								
010r	p010r_3	Roses	Roses	Roses	decorative									corne de lanternes;parchemin		Roses									
010r	p010r_4	Couleur de pourpres	Couleur de pourpres	Purple color	painting									azur commun;azur desmail;laque;alum					painctres						
010r	p010r_5	Pouldre dhorloges de sable	Pouldre d’horloges de sable	Powder for hourglasses	metal process;household and daily life									Pouldre;plomb;crasse;sel commun pulverise subtilement;pierre;terre;fer;sel;mabre;eau;petite pouldre	lb;℥						fer;mabre;tamis fin				
010v	p010v_1	Pour paindre a huile sur taffetas sans que lhuile coure	Pour paindre à huile sur taffetas sans que l’huile coure	For painting in oil on taffeta without the oil running	painting									huile;taffetas;batture;tourmentine;colle;eau;miel;or;eau dalum	heures										
010v	p010v_2	Assiete dor de foeuille sur parchemin ou papier	Assiete d’or de foeuille sur parchemin ou papier	Seat for gold leaf on parchment or paper	painting									or de foeuille;parchemin;papier;colle damydon;or											
010v	p010v_3	Pour nettoyer lor de foeille pose sur le fer	Pour nettoyer l’or de foeille posé sur le fer	For cleaning gold leaf applied to iron	metal process;painting					cheval				or de foeille;fer;fiente de cheval seche											
010v	p010v_4	Pour blanchir la ceruse	Pour blanchir la ceruse	For whitening ceruse	painting									ceruse;oeufs partis les par moictie & oste le jaulne & entre les deulx moicties du blanc;eau claire							filet				
011r	p011r_1	Paindre a huile desmail dazur	Paindre à huile d’esmail d’azur	Painting esmail d’azur in oil	painting						ongle		veines de la montaigne	huile;esmail dazur;ceruse;azur desmail;azur;asur;mabre;jaulne doeuf;eaulx;eau;esmail;azurs;eau de roche;vert dazur;cuivre;cendres dazur;eau claire;eau coloree			allemaigne		communs painctres		alaine;mabre;painceau;broisse;truelle;esponge;vaisseau;tamis;alambic;ongle;pallette a huile			eau de roche	
011v	p011v_1	Couleur dacier de damas sur costeaulx	Couleur dacier de damas sur costeaulx	Color of Damascus steel on knives	metal process									acier de damas;eau fort commune;acier;eau;terre;cendre;sable;or;argent							costeaulx;cendre;sable;pierre de touche				
011v	p011v_2	Pour oster la rougeur des yeulx ou la meurtrisseure	Pour oster la rougeur des yeulx ou la meurtrisseure	For getting rid of the redness of eyes or bruising	medicine					mouton	yeulx			cher de mouton cru							bandeau	Pour oster la rougeur des yeulx ou la meurtrisseure			
011v	p011v_3	Pour coucher dor mat	Pour coucher d’or mat	For coating with or mat	painting									or mat;or					espasiers						
011v	p011v_4	Pour poinctes de diamants a graver	Pour poinctes de diamants à graver	For diamond points for engraving	tool;stones						ongle			diamants;pierres;diamant;pouldre de pierre ponce;plomb;pierre;verre;vernis;saphir;ongle							poinctes de diamants;poinctes;pouldre de pierre ponce;roue de plomb				
011v	p011v_5	Roue de cuivre a polir	Roue de cuivre à polir	Polishing wheel of copper	stones									cuivre;pierre;cuir							Roue de cuivre a polir;lopin de cuir;roue				
012r	p012r_1	Pour mouler de soufre	Pour mouler de soufre	For molding sulfur	casting					lesard			au vent;au froict	soufre;noir a noirci;sanguine pulverisee;huile;verdegris;plastre;eau;noir a noircir											
012r	p012r_2	Chimolee	Chimolée	Chimolée	casting									Chimolee;terre chimolee;des parayres;draps;chimolee;plomb	jours				parayres		pot;four;four couvert			terre chimolee	
012r	p012r_3	Papier	Papier	Paper	casting									Papier;soufre;chimolee cuitte;blanc;or;albastre;blanc de plomb;glaire doeuf;pelure de figuier;vernis blanc;papier		figuier					dent				
012r	p012r_4	Plastre	Plastre	Plaster	casting						doigt		montaigne	Plastre;mabre;soufre;huile;plastre;eau;pouldre dudict plastre;pouldre de plastre			albigeois		barbiers		feu de reverberation;fours de barbiers;mabre;doigt				
012v	p012v_1	Mouler le stuc promptement	Mouler le stuc promptement	Molding stucco promptly	casting									stuc;brique;bol armen;sanguine;cire;plastre;papier pile;terre chimolee;bol			armen				medaille de relief;pile				
012v	p012v_2	Nettoyer perles jaulnes	Nettoyer perles jaulnes	Cleaning yellow pearls	stones									perles jaulnes;tripoly;cuir;pouldre dudict tripoly;perle					orfevres		bouteure dorfevres;tripoly;cuir;pouldre dudict tripoly				
012v	p012v_3	Pour blanchir enilanroc	Pour blanchir enilanroc	For whitening enilanroc	stones			continued			bouche		pres du feu	enilanroc;ceruse;esmail recuit;arsenic;mabre;fer;charbons;plomb;destaing;agathe					anciens lapidaires;orfevre		mabre;cassete de fer;forge dorfevre;roue de plomb				
013r	p012v_3				stones				continues	porceau				agathe;brique;diamant;sayes de porceau;tripoly;cendres;albastre					vitrier		souldouers de vitrier;poincte de diamant;sayes de porceau;tripoly				
013r	p013r_1	Carnation darsenic	Carnation d’arsenic	Flesh color from arsenic	painting									arsenic;arcenic sublime;pierre;mabre;vermeillon;laque;mine;arcenic jaulne;huile							mabre				
013r	p013r_2	Pour taindre	Pour taindre	For dyeing	dyeing					animal				sel armoniac;vitriol;laque;verdet;azur											
013r	p013r_3	Polissement de pierres	Polissement de pierres	Polishing of stones	stones									pierres;pierres tai gravees;cuivre;tripoly;pierres taillees a faces et a plain							roue de cuivre;broisses;tripoly;roue				
013r	p013r_4	Tamis fins de soye creue	Tamis fins de soye creue	Fine sieves of raw silk	tool			continued						soye creue;estamine de soye crue;soye crue blanchie a la fumee du soufre;soye crue;fumee du soufre;soye;farine							Tamis fins de soye creue;telier;fins & subtils tamis				
013v	p013r_4				tool				continues	cheval				soye crue jaulne & naturelle;farine;poil de cheval											
013v	p013v_1	Pour cognoistre la bonne cendree dazur a huile	Pour cognoistre la bonne cendrée d’azur à huile	For knowing the good cendrée of azure for oil	painting						doigt			cendree dazur;huile;papier					sophistiqueurs		doigt				
013v	p013v_2	Blanchiment de perles	Blanchiment de perles	Whitening of pearls	stones;household and daily life									perles;eau de savon											
013v	p013v_3	Crapaudine	Crapaudine	Toadstone	medicine					crapault			chambre	Crapaudine					larrons		brasier	Crapaudine;ne pourront se mouvoir ne parler ne donner empeschement aulx larrons			
013v	p013v_4	Serpens	Serpens	Snakes	casting					Serpens;serpent;pourceau															
013v	p013v_5	Chandelles	Chandelles	Candles	tool;household and daily life								vent dhaultan	suif					chandeliers		Chandelles;chandelle				
014r	p014r_1	Pour murailles de terre et bastiment rustique	Pour murailles de terre et bastiment rustique	For walls of earth and rustic construction	household and daily life		CONTAINS FIGURE			hirondelles	pied		murailles;muraille;bon & fertile territoire	terre;boue;festus;brins de foing ou de paille;pierre;brique;terre legiere;arene;terres;branches de bruyeres;billots;bruiere;bruyeres;salpestre	pied	bruyeres;bruiere			pouldriers		palle baisse;cordeau;grands ch perches;chevrons;tables;battouers;mail;batte				
015r	p015r_1	Drap damasse	Drap damassé	Damasked cloth	dyeing									Drap damasse;drap;tainct;fisselle;cordette;teincture de guesde ou pastel;taincture verte;corde;meschant drap		guesde;pastel									
015r	p015r_2	Gecter en fonte	Gecter en fonte	Foundry casting	casting					cheval				sable;farine;cuivre;letton;terre;ardille sabloneuse;fiente de cheval;bourre;sables artificiels;plomb;metal	moys						chassis				artiglerie
015r	p015r_3	Gecter or et argent	Gecter or et argent	Casting gold and silver	casting									or;argent;sable;sable des fondeurs;terre;metal					fondeurs		chassis				
015v	p015v_1	Tablettes	Tablettes	Tablets	wood and its coloring;decorative;tool					seiche				buys;ebene;sandal;yvoire;or;argent;damasquine;os de seiche							poincte dargent;os de seiche				
015v	p015v_2	Lettre plus lisable	Lettre, plus lisable	Letter, more legible	practical optics									beril;cristal							petit manche				
015v	p015v_3	Stamper	Stamper	Stamping	decorative;metal process									bronze;plomb;clinquant;lames de plomb ou dargent recuit recuit;bois							mail de bois				
015v	p015v_4	Ramolir la corne	Ramolir la corne	Softening horn	tool;decorative									corne;eau chaulde							triboulet en rond ou faict en ovale				
015v	p015v_5	Oreilles	Oreilles	Ears	medicine						Oreilles;oeil;oreille;coulde			cothon musque;musc								defluxion;a loeil & a loreille il ny fault toucher que du coulde;conforte bien fort			
015v	p015v_6	Mal des dents	Mal des dents	Tooth ache	medicine						dents;oreille;dent;narine			gousse dail	heures	ail;visaube						Mal des dents			
016r	p016r_1	Fonte de fer doux	Fonte de fer doux	Founding of soft iron	metal process		CONTAINS FIGURE	continued			poignees			fer doux;fer;realgar;plomb;orpiment;fer aigre;fer douls;hiebles;eau;fer doulx	pan & demy;pans;un pan;pan;quintal & demy;quintals;poignees;plus gros	hiebles			commun;alchemistes;minerons;ouvriers		petites forges;pots de fer;fourneau;tuelle;tuyaulx des souflets;four;four en quarre;fourneau rond;fourneau de reverberation;souflets;forges;moules;plus gros charbon;moule;grosse lime				
016v	p016r_1				metal process				continues					fer;metail;cendre destrempee	pans;lb;palles;quintals						fourneau;gros charbons;charbon;charbon nouveau;moules;coquilles de fer ou de metail				
016v	p016v_1	Contre Go	Contre Go	Against Go	medicine									graine de coings;eau claire;eau mucilagineuse		coings						Contre Go;injection			
016v	p016v_2	Pour oster le menu poil du front	Pour oster le menu poil du front	For removing fine hair from the forehead	medicine						front			soye deliee;soye;menus brins de cotton	aiguillee	cotton					aiguillee de soye deliee	Pour oster le menu poil du front			
016v	p016v_3	Soye	Soye	Silk	dyeing									Soye;cramoisi;soyes					ouvrier						
016v	p016v_4	Garder oranges	Garder oranges	Keeping oranges	preserving									oranges;estaing	mois	oranges					vaisseau destaing et bien clos				
016v	p016v_5	Chandelles	Chandelles	Candles	household and daily life;preserving								en lieu frais & sec	son;fil de chanvre;cotton		chanvre	montauban				Chandelles;chandelle				
017r	p017r_1	Du canonier	Du canonier	On the gunner	arms and armor			continued		chevaulx		lb	cassemattes des fosses;maysons particulieres;petites villates;forteresses de peu dimportance	fine pouldre dharquebus;pouldre ordinayre de canon;pouldre;rosette;metal;metal fin de la grosse cloche;metal de petites cloches;rosette fine	pas;qualibre du roy;lb;quintals;qualibre de roy;espesseur de deux balles & un quart de balle;espesseur dune balle & la troisiesme partye dune balle;pans;pan de montpellier;pan de roy;trois pars de rosette & une de metal fin de la grosse cloche;poulces de roy		montpellier		canonier;roy					canon perrier;pan de montpellier;poulces de roy	canon;canon perrier;petits canons court;piece;harquebus;longue piece;canons;grand canon;pieces
017v	p017r_1				arms and armor			continued	continues	chevaulx		lb	cassemattes;trenchees;bort du fosse	pouldre;pouldre de canon;cuivre;metal;estain;rosette;estain fin;estaing;charbon;pouldre a canon;pouldre dharquebus;crasse	quintals;espesseur de b deulx balles & l des trois parties dune balle lune;espesseur dune balle & de deulx trois parties les deulx;pans;pas;lb;demy lanterne;par jour;quintals & demy;quintal;lb pour quintal;lb selon lordonnance du roy pour quintal;espesseur dune demy bale;troisiesme partye dune balle;lanternes;une & demye de;un quintal de metal sur deulx de rosette;aultant dun que daultre;partye		france;toulouse	Poncet	Maistres;Maistre;roy	grosse voix;son	lanterne;lanternes;chaulderons;burin				grand canon;canon;grands canons;grandes pieces;canons;petites pieces;canons perriers;harquebus;pieces ancienes
018r	p017r_1				arms and armor			continued	continues	chevaulx;chevaux	poulse		gabions;garites couvertes dune tour;villes	metal;rosette;pouldre;fumee	quintals;pans;qualibre de roy;lb;espesseur de deux de ses balles & lesa trois troisiesme parties dune balle;espesseur dune balle & de trois parties les deulx;quintaulx;pas;demye lieue;poulse;espesseur de deulx de ses balles & lesa troissiesme parties dune balle;espesseur dune balle & de trois parties les deux;espoisseur de trois balles a la culasse & au devant de deulx balles;trois balles a la culasse & deulx devant;balles;lieue;demy lieue		la rochelle		roy;cavallerie					bastarde	colevrines sont grandes;canon;colevrine;colevrines;canons;pieces;petites pieces;grandes pieces;bastarde;piece;grand colevrine;colevrine bastarde;piece bastarde;pieces de plaisir
018v	p017r_1				arms and armor			continued	continues	chevaulx;bons chevaulx;cheval			ville;barricade;maison ou ailleurs;villes;maisons;murailles;tour	pouldre;pouldre a canon;pouldre dharquebus	quintal;pans;lb;livres;trois balles despesseur;pas;diametre dune balle & demye;escusson;espesseur de deulx balles;espoiseur de trois balles;jusques a lescusson;quintals;lanternes;lanterne;A la culasse elle ha trois balles & deux devant;qualibre;balles;A la culasse il ha trois balles & deux de devant;A la culasse trois balles au devant				infanterie;cavallerie		lanterne;lanternes				canons;bastarde;grosses pieces;moyennes pieces;pieces de campaigne;passevolant;pieces;canon;piece de quattre quintals;harquebus;piece de campaigne;pieces moindres;piece;faulconneau;colevrines;bastardes moyennes
019r	p017r_1				arms and armor		CONTAINS FIGURE		continues					pouldre;pouldre dharquebus;pouldre de canon;fer;metal;cuivre;plomb	lanterne;quintal;pan;demy lb;A la culasse 3 balles & 2 devant;quintals;3 balles & la douziesme partie dune balle;lb;A la culasse 3 balles deulx devant;balles;balle;jusques a la cime de lescusson;lespesseur de c cinq balles;Lanterne;lignes;jusques a lescusson;lespesseur de 4 balles;la longueur de 4 balles						lanterne;Lanterne				de campaigne;faulconeau;faulconeaulx;petites pieces;piece;Double mousquet;harquebus;canon;Mousquet simple;Harquebus a croc;harquebus a croc;orgues;dorgues
019v	p019v_1	Figures de mathematique sans regle et compas	Figures de mathematique sans regle et compas	Mathematical figures without ruler and compass	painting		CONTAINS FIGURE				ongle du poulce droict;grand doigt			papier;ancre	distance necessaire						regle;compas;plume;ongle du poulce droict;grand doigt;reigle				
019v	p019v_2	P Pour escripre a gaulche aussi bien qua la droicte	P Pour escripre à gaulche aussi bien qu’à la droicte	P For writing as well from the left as from the right	painting									ancre bien gommee;cartels;ancre;papier;cartel							dent				
019v	p019v_3	Clisteres	Clisteres	Enemas	medicine					chat	vent			cuir;peau de chat							manches ou poches de cuir;manche;syringue	Clisteres			
020r	p020r_1	Pour faire les Millas	Pour faire les millas	For making millas	household and daily life								fouye	Millas;millet;croutte;farine;beurre frais fondu;laict;pate pour faire bignetz;Jaulnes doeuf;Jaulnes deouf;millas;safran;terre;pate;foin	aultant dung comme daultre	millet;safran					cedas;moulles;fouye;moules;couvercle;moulle				
