folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
081v	p081v_3	Sable	Sable	Sand	casting								riviere	Sable;caillous noirs de riviere calcines;plomb;metal;terre ardille dequoy on faict les tuiles;glaire;charbon de saule;sable pour le b plomb;laitton		saule					manche				
081v	p081v_4	Gect de chassis	Gect de chassis	Frame casting	casting									bois de buy;Lute;sable;metal;plomb;cuivre;fer;letton;plomb noir de saulmon		buy					chassis;Lute;moule				
082r	p082r_1	Chaleur de cuivre	Chaleur de cuivre	Heat of copper	casting									cuivre;crasse											
082r	p082r_2	Chassis	Chassis	Frame	casting									fer;cuivre;metal;bois;boys;brique							Chassis;moule;chassis				
082r	p082r_3	Glaire doeufs	Glaire d’oeufs	Glair of eggs	casting									Glaire doeufs;glaire doeufs;sable											
082r	p082r_4	Horlogeurs	Horlogeurs	Clockmakers	tool		CONTAINS FIGURE							letton	si petites distances comme celles des petites roues;esgalles distances;troisiesme partie en tant de distances quil est necessaires en esgard a la totale division du cercle				Horlogeurs		compas;compasser;pointe				
082v	p082v_1	Horlogeurs	Horlogeurs	Clockmakers	tool									plomb fondu					Horlogeurs						
082v	p082v_2	Gecter plomb en plomb	Gecter plomb en plomb	Casting lead in lead	casting									plomb;fumer;noir de chandelle;estaing							moule de plomb;chandelle				
082v	p082v_3	Sable	Sable	Sand	casting									Sable											
082v	p082v_4	Forme de gecter en bronze	Forme de gecter en bronze	Method of casting in bronze	casting									bronze;laitton de potin;laitton fin de cassole;letton fin;cuivre rouge;fume;luter;charbon;fer;bourras;cuivre	moictie				fondeurs		creuset;forge;souflets;crusol;grille;luter;cruset;baston;platte de fer				
083r	p083r_1	Sable pour le plomb	Sable pour le plomb	Sand for lead	casting									Sable pour le plomb;plomb;suye grise du fourneau des argentiers;chaulx vive;farine;suye grise des sarruriers	ana				argentiers;sarruriers		forge				
083r	p083r_2	Sable pour medailles de cuivre	Sable pour medailles de cuivre	Sand for copper medals	casting									Sable;cuivre;feultre de chappeau brusle;mache de fer;os brusle;eau sel;paille;sables pulverises et subtilies bien fort sur le porphire;porphire;feultre brusle;plastre;os;feultre							pile;porphire				
083r	p083r_3	Aultre sable	Aultre sable	Another sand	casting									sable;Charbon de sarment;terre argille;glaire doeufs bien battue;vinaigre		sarment					tamisee;four				
083r	p083r_4	Aultre pour le plomb	Aultre pour le plomb	Another for lead	casting									plomb;ardoise subtillement pillee;pierre ponce calcinee;vernis							pillee;pot				
083r	p083r_5	Aultre	Aultre	Another	casting					cheval				tuile peu cuitte broyee;vin blanc;papier de trasse noir brusle;fiente de cheval bruslee;glaire doeuf;papier de trasse brusle;charbon											
083r	p083r_6	Sable excellent	Sable excellent	Excellent sand	casting								cave;lieu humide	Sable;Albastre calcine;charbon;albastre;sel armoniac;metal;sable	lb;℥						crusol;double tamis;moule				
083v	p083v_1	Forme de mouler excellente avecq eau	Forme de mouler excellente avecq eau	A way for molding excellently with water	casting								en lieu humide	eau;axunge de verre;cendres;vitriol;couperoses											
083v	p083v_2	Mouler de relief dune part et creux de laultre	Mouler de relief d’une part et creux de l’aultre	Molding in relief on one part and hollow on the other	casting						mains			cuivre;letton;metal;sable;crasse;ordure;vinaigre;vin;sable grossier;sable doulx & subtil;charbon de saule		saule					chassis;presse;mains;chevilles				
