annotation-ID,annotation-folder-name,essay-type,edition-URL,full-title,thumbnail-title,year,semester,theme,theme-add-1,theme-add-2,UUID,GD_folder_url,GD_text_url,illustrations_url,captions_url,thumbnail_url,abstract_text_url,bib_text_url,alttext_url,short-title-GD,author,folios,entry-id,entry-cat,entry-cat-add-1,entry-cat-add-2,status-phs,status-DCE,refresh-DCE,done-date
ann_059_sp_17,ann_059_sp_17_Grafit_SilkwormsAndTheWorkOfAlgiers,Student,http://edition640.makingandknowing.org/#/essays/ann_059_sp_17,Silkworms and the Work of Algiers,Silkworms and the Work of Algiers,2017,Spring,Society and Culture,The Making and Knowing Laboratory,,1p_7hl5jjX33TTue-WyPEc9tuzWRf3wvivDUDJAUfrAg,https://drive.google.com/open?id=0BwJi-u8sfkVDdDhPNk9BSUlwSDQ,https://drive.google.com/open?id=1p_7hl5jjX33TTue-WyPEc9tuzWRf3wvivDUDJAUfrAg,https://drive.google.com/open?id=0BwJi-u8sfkVDUC1lZ3J1ODVmTHM,https://docs.google.com/document/d/1wGK1SIzA53z2zR1dPPxREHgNlNWLwn_OU4vAQBxAx7w/edit?usp=drivesdk,https://drive.google.com/file/d/1Km7kgySEOEZSz2ghYP8Ne6BZrVaJGiUB/view?usp=sharing,https://docs.google.com/document/d/1JSg43lGixViKY-rfSNj16PFynhOzZt-O9tEzsucrXCA/edit,https://docs.google.com/document/d/1wuo9Aj7EJ2HcKTyHyqDWZ_8vwMUEdvCH6F2OvFd7p6U/edit,,Silkworms and the Work of Algiers,Sasha Grafit,52r; 52v; 53v,p052r_1; p053v_1,cultivation,alchemy,animal husbandry,PHS,published,,
ann_060_fa_17,ann_060_fa_17_Garris_AnExplorationAnalysisOfAzur,Student,http://edition640.makingandknowing.org/#/essays/ann_060_fa_17,What is Azur in Ms. Fr. 640?,What is Azur in Ms. Fr. 640?,2017,Fall,The Making and Knowing Laboratory,,,17hHyMybv4V8116hwkNjE98VsiQWAqTBf6oi0cJvZYRY,https://drive.google.com/open?id=0BwJi-u8sfkVDRWRCMk95OUprZDg,https://drive.google.com/open?id=17hHyMybv4V8116hwkNjE98VsiQWAqTBf6oi0cJvZYRY,https://drive.google.com/open?id=0BwJi-u8sfkVDckF5VU00cmtTQTQ,https://docs.google.com/document/d/1i-TPeECmJJJcvHFtHjvD_ucud59yNL4m7shZ9JYfy8g/edit?usp=drivesdk,https://drive.google.com/file/d/1o-rs5OxLoMpNgTzhtHEcUao6mIAQ495k/view?usp=sharing,https://docs.google.com/document/d/1j-gqj473KBITyeiwzfUKcbCcENLkP6B4qmb-PYUMGdw/edit,https://docs.google.com/document/d/1hWEQbS74Qm3WqPgVNDnU34puILVlouwgP1yZZljQeOc/edit,,An Exploration + Analysis of “Azur” as a General or Specific Term for Blue Pigments,Carl Garris,11r,p011r_1,painting,,,PHS,published,,
ann_061_fa_17,ann_061_fa_17_Dongchung_UnderstandingCartonInEarlyModernEurope ,Student,http://edition640.makingandknowing.org/#/essays/ann_061_fa_17,What is Carton?,What is Carton?,2017,Fall,The Making and Knowing Laboratory,Art and Its Making,,1mBLrW4d6iVnUVw6h9TlEIAAaECYLdPOBKPw2EsyE3x8,https://drive.google.com/open?id=0BwJi-u8sfkVDU2xpdVJOUWIzanM,https://drive.google.com/open?id=1mBLrW4d6iVnUVw6h9TlEIAAaECYLdPOBKPw2EsyE3x8,https://drive.google.com/open?id=0BwJi-u8sfkVDR0ZveXUtczBKM2c,https://docs.google.com/document/d/1hMCpkQ1JzYFi1uW4gzTTapD25es48BPGFdx-vz8CAIM/edit?usp=drivesdk,https://drive.google.com/file/d/1WDEYka1AqDNIKk0ClBdUR4XE3EpnmLZ0/view?usp=sharing,https://docs.google.com/document/d/1kxBHLlg9Rx_A-_c0QedQO07Fm0gws3QHVo-OYzzEmu4/edit,https://docs.google.com/document/d/1C-iSN1SmYOpbdCwuJkWXq7XSxyEalSHd5jqM5ywPV-U/edit,,Understanding “Carton” in early modern Europe ,Tenzin Dongchung,81r,p081r_4,casting,,,PHS,published,,
ann_062_fa_17,ann_062_fa_17_ Yar_ForPaintingInOilOnTaffeta,Student,http://edition640.makingandknowing.org/#/essays/ann_062_fa_17,Painting in Oil on Taffeta II,Painting in Oil on Taffeta II,2017,Fall,The Making and Knowing Laboratory,Art and Its Making,,12_YqtiXR7CwuXGT5ZoVthRLLRrFKrpiFt1_B00Ccsmc,https://drive.google.com/open?id=0BwJi-u8sfkVDbTJ2NXVOY2s1Wk0,https://drive.google.com/open?id=12_YqtiXR7CwuXGT5ZoVthRLLRrFKrpiFt1_B00Ccsmc,https://drive.google.com/open?id=0BwJi-u8sfkVDMGVJbHNPSlRkSFk,https://docs.google.com/document/d/1D0tHBjdcR8X1uem-UjU8SUL3S18xVXOPFWYfUDlYmZo/edit?usp=drivesdk,https://drive.google.com/file/d/1akgTnlyWt_VJn94c7rob_DbjVvPkfGAN/view?usp=sharing,https://docs.google.com/document/d/1Vpd46WI_J3kackNkHBV-r7m8FHMbqxVpGPwvBRNSy6w/edit,https://docs.google.com/document/d/1Mz_ypm_t7o27ey33oDFUyKZlOZsngPTTk_B2wtEqSMo/edit,,“For painting in oil on taffeta without the oil running” and “Painting in oil on taffeta”,Sumeyye Yar,10v; 42v,p010v_1; p042v_3,painting,,,PHS,published,,
ann_063_fa_17,ann_063_fa_17_Ullman_ArtificialGrottosForFestivals,Student,http://edition640.makingandknowing.org/#/essays/ann_063_fa_17,Artificial Grottos,Artificial Grottos,2017,Fall,Art and Its Making,Society and Culture,The Making and Knowing Laboratory,13loGYUe5opVD70QU06itK1Lf-eG03DYH78MWvvBYcKg,https://drive.google.com/open?id=0BwJi-u8sfkVDNjZlcjM0ZFE1dlk,https://drive.google.com/open?id=13loGYUe5opVD70QU06itK1Lf-eG03DYH78MWvvBYcKg,https://drive.google.com/open?id=0BwJi-u8sfkVDUldQZDItU25kMHc,https://docs.google.com/document/d/1ZuTVStdOY--7OFxCRcRT67veeWBT_rI2JuqYnoJDyd0/edit?usp=drivesdk,https://drive.google.com/file/d/1swJU-2j0NHRIBd6m0zi9L-n00V_ePi6w/view?usp=sharing,https://docs.google.com/document/d/1hSNcB7fgJBDp29YYMP6Q2Jw7NxfKI06exvdZBlKEZfA/edit,https://docs.google.com/document/d/1_6XLDIW9X4ECkjphag91iO07Sf_naNqyw7v-4tehRmM/edit,,Artificial grottos for festivals,Reut Ullman,40r; 110r; 118r,p040r_5; p110r_2; p118r_3,decorative,,,PHS,published,,
ann_064_fa_17,ann_064_fa_17_Elizondo-Garza_StuccoForMolding,Student,http://edition640.makingandknowing.org/#/essays/ann_064_fa_17,Stucco for Molding,Stucco for Molding,2017,Fall,The Making and Knowing Laboratory,Art and Its Making,,1rFTvhb6SXakrT0MlHtZF3U3PW0GmKH5iiILhz3C0nrg,https://drive.google.com/open?id=0BwJi-u8sfkVDV1JrYkNTQUpTbVk,https://drive.google.com/open?id=1rFTvhb6SXakrT0MlHtZF3U3PW0GmKH5iiILhz3C0nrg,https://drive.google.com/open?id=0BwJi-u8sfkVDcW1aUERqS243M1k,https://docs.google.com/document/d/1LoH-zCTmT0dPPWdJlEX5w4_Fik3hl0YHQwEH5AxBPRI/edit?usp=drivesdk,https://drive.google.com/file/d/10rMUg3vdBuF-6mxYhPZ9V8q7zYgoRjA4/view?usp=sharing,https://docs.google.com/document/d/1uR-W02GVD2bUOT4jas7GNdjrU-tewoT6PsHdtHLYQQA/edit,https://docs.google.com/document/d/1K6WhgLKWxUfUycp-IhRbcb1hMFXxEQOCTc9x5iqRMBQ/edit,,Stucco for Molding,Nina Elizondo-Garza,29r,p029r_1,casting,,,PHS,published,,
ann_065_fa_18,ann_065_fa_18_Assis_CorrodeAndDissolve,Student,http://edition640.makingandknowing.org/#/essays/ann_065_fa_18,To Corrode and Dissolve: Making Aquafortis in Ms. Fr. 640,Making Aquafortis,2018,Fall,The Making and Knowing Laboratory,Knowing Nature,,15jOFN5L-HQlN2oqNYSKYSJEc88_njl6M0FjsSyYr-o4,https://drive.google.com/open?id=1St0DVpmL3afXLqxX4yuBguKcyrwhOBkA,https://drive.google.com/open?id=15jOFN5L-HQlN2oqNYSKYSJEc88_njl6M0FjsSyYr-o4,https://drive.google.com/open?id=1xoscQ0criMSW5m0bjcaOOPLiW7i7qcsF,https://docs.google.com/document/d/1sJDm1ItGQNdotRToMrh-_00_mEHORzDHusZtKhG0DpM/edit?usp=drivesdk,https://drive.google.com/file/d/13AE45H7Ac2qEKWzyK544CLL1WROOvEwn/view?usp=sharing,https://docs.google.com/document/d/11hSj99sleQQ6XcMky_UqNMBXz-NZq99AkFdJnYNgtks/edit,https://docs.google.com/document/d/1SK83TWjXgpwQfRDXNU7a9wKk3MuXCzuL9Pxluiviv9I/edit,,Corrode and Dissolve: A Recipe for Making Aquafortis,Michael Assis,75r; 11v,p075r_4; p011v_1,corrosives,metal process,,PHS,published,,
ann_066_fa_18,ann_066_fa_18_Bergen_HouseholdManuals,Student,http://edition640.makingandknowing.org/#/essays/ann_066_fa_18,La Maison Rustique: Cultivation and the Genre of the Household Manual,Cultivation and the Genre of the Household Manual,2018,Fall,"The Manuscript, Ms. Fr. 640",Society and Culture,,18erKiiynTri5JYu4IXJ4ph4h3a_PoPHz5nHpYoVjXPY,https://drive.google.com/open?id=1LAyqS2v1ba3V2-W8IYQ7SIXIY2MzZsaH,https://docs.google.com/document/d/18erKiiynTri5JYu4IXJ4ph4h3a_PoPHz5nHpYoVjXPY/edit?usp=sharing,N/A,N/A,https://drive.google.com/file/d/1A4CIzPVzTy99k74kyAt3pPoMSvRW7u4b/view?usp=sharing,https://docs.google.com/document/d/18Ibt89QBtcG0OQm2_uQxjNFqNTYCqbF_KHAo7fpCyEw/edit,https://docs.google.com/document/d/1k58o7hYjhl0kMCmfsvmfdWYVV_7Cpp9bjQWSES-bjrI/edit,,“Dans La Maison Rustique”: Cultivation in BnF Ms. Fr. 640 and the Genre Conventions of the Household Manual,Katie Bergen,9r; 54v; 93r; 98v; 131r; 166v,p009r_1; p054v_2; p093r_1; p098v_1; p131r_4; p166v_2,cultivation,animal husbandry,household and daily life,PHS,published,,
ann_067_fa_18,ann_067_fa_18_Bertozzi_TransferringImages,Student,http://edition640.makingandknowing.org/#/essays/ann_067_fa_18,Transferring Images,Transferring Images,2018,Fall,Art and Its Making,The Making and Knowing Laboratory,,1kFOkqr2zf_cTKf8D28a9xWET7riEdPfHiir3KK422I4,https://drive.google.com/open?id=15R0r_zc0ElZnH49xvsvA7xkR3r2TaYqu,https://docs.google.com/document/d/1kFOkqr2zf_cTKf8D28a9xWET7riEdPfHiir3KK422I4/edit,https://drive.google.com/open?id=1_3msmUAt_L9El0R2A-RS8U6Q4JU3t9L6,https://docs.google.com/document/d/14HihnBACAL19ByxEfGj696MblReIA_x4EJ1EAHQGfMA/edit?usp=drivesdk,https://drive.google.com/file/d/1FKTq8v1gf6PKQKjtcxF3eYaXZhx1Qonr/view?usp=sharing,https://docs.google.com/document/d/1t5NCWpTcpFW_M81A3-TW3LBlXNmmTpPDCdpPYzbdkvA/edit,https://docs.google.com/document/d/1S4DnqdudkugHkJBqmso6RxH871Gq_C50P4okN1NyPcs/edit,,Transferring Images,Nicolle Bertozzi,19v; 42v; 51r,p019v_2; p042v_1; p051r_1,painting,household and daily life,printing,PHS,published,,
ann_068_fa_18,ann_068_fa_18_Bostock_Tablets,Student,http://edition640.makingandknowing.org/#/essays/ann_068_fa_18,Tablets,Tablets,2018,Fall,The Making and Knowing Laboratory,Society and Culture,Art and Its Making,1-LNbahK2iBuPbT-fqOSL_J16y1v0Nx8rLMHc6QF5HnQ,https://drive.google.com/open?id=1U2zubc8uWQfEhoik-pgwXfZZQTjdv5E6,https://drive.google.com/open?id=1-LNbahK2iBuPbT-fqOSL_J16y1v0Nx8rLMHc6QF5HnQ,https://drive.google.com/open?id=1EODT0EG78iFO7RGSoM9bmKn2kS7se82o,https://docs.google.com/document/d/1myjrwRY7rIBmnysO4mlKia0W_EJl9bpUZXienVcuFtU/edit?usp=drivesdk,https://drive.google.com/file/d/1Lg8E_O3oVJYqBfGJE5FG0VsROWDuc4GV/view?usp=sharing,https://docs.google.com/document/d/1nqkRDpsfeTeRcBXcS6srFScuneEAhIbFbqzJ5nGH5ao/edit,https://docs.google.com/document/d/1eMTKhGg6rjaInpTb0HU0VJaeQ5SwZkgC5qa_pts7PZU/edit,,Tablets,Sahar Bostock,15v,p015v_1,wood and its coloring,decorative,tool,PHS,published,,
