XPath Location,folio,id,link
/root[1]/div[5]/ab[1]/figure[1],p061r,fig_p061r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5LVgyaXJ0Rl8wMjA
/root[1]/div[5]/ab[1]/figure[2],p061r,fig_p061r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5a0g1a0hvTUdHRFE
/root[1]/div[2]/ab[1]/figure[1],p062v,fig_p062v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5ZkRNOG9hZmpMT2M
/root[1]/div[2]/ab[3]/figure[1],p062v,fig_p062v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5X0hKa0FueWdjMFk
/root[1]/div[1]/figure[1],p064v,fig_p064v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5NmZDTmZwc1Jqb2M
/root[1]/div[1]/ab[1]/figure[1],p065r,fig_p065r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5UFZyOUNKU3pqVXc
/root[1]/div[2]/ab[1]/figure[1],p065r,fig_p065r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5eUhrRmdpaWNCZlk
/root[1]/div[2]/figure[1],p077r,fig_p077r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5ckxxXzJIeWhnMDg
/root[1]/div[3]/figure[1],p080r,fig_p080r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5c3dLNVNsem9nTjQ
/root[1]/div[3]/figure[2],p080r,fig_p080r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5N2U2RXB5UFc3TUE
/root[1]/div[3]/figure[3],p080r,fig_p080r_3,https://drive.google.com/open?id=0B9-oNrvWdlO5R2ZBNWRseEpQdnc
/root[1]/div[1]/ab[1]/figure[1],p080v,fig_p080v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5VktqeFlScTAyczQ
/root[1]/div[4]/figure[1],p082r,fig_p082r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5MG1jZS1LOUE2QWs
/root[1]/div[2]/figure[1],p086v,fig_p086v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5dWFuOW9Db1ZjZFk
/root[1]/div[1]/ab[1]/figure[1],p091v,fig_p091v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5Q2hHbzNsX1JlYUU
/root[1]/div[2]/ab[1]/figure[1],p093v,fig_p093v_1,https://drive.google.com/open?id=1Evh12fQW-7shrdMMvIkrEUyM0z_nrlM1
/root[1]/div[1]/figure[1],p094r,fig_p094r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5YTlFNHRBSVRrOEU
/root[1]/div[1]/figure[1],p094v,fig_p094v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5Q29MTEVLUGE5RGs
/root[1]/div[1]/figure[2],p094v,fig_p094v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5OEQ3OEFSNnEzeE0
/root[1]/div[1]/ab[14]/figure[1],p094v,fig_p094v_8,https://drive.google.com/open?id=1SslzZieQdAMA1gc0QKXvZtR4GpsAA8Nk
/root[1]/div[1]/ab[14]/figure[2],p094v,fig_p094v_4,https://drive.google.com/open?id=1Pyd3sajmdLQKdw3viV0aymANv9v7cr3-
/root[1]/div[1]/ab[14]/figure[3],p094v,fig_p094v_5,https://drive.google.com/open?id=16DPQkKGIVdRrU8_LUuUfJOqW_01wpKuf
/root[1]/div[1]/ab[14]/figure[4],p094v,fig_p094v_7,https://drive.google.com/open?id=1PmDU-LbWVDhejN2GS16gi3Qgc5f1WMzv
/root[1]/div[1]/ab[14]/figure[5],p094v,fig_p094v_6,https://drive.google.com/open?id=1ERy6lz_iApaxJGsw9kJse9H4x9rx4Pp0
/root[1]/div[1]/ab[3]/figure[1],p100v,fig_p100v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5QUx4eF9qWU1jS28
/root[1]/div[1]/figure[1],p101r,fig_p101r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5dnlodmJvNkRMaWM
/root[1]/div[4]/ab[1]/figure[1],p102r,fig_p102r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5MVhNYTRzOXJzR2M
/root[1]/div[3]/ab[1]/figure[1],p102v,fig_p102v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5SjZwV0ZHdW93ZEk
/root[1]/div[4]/figure[1],p104v,fig_p104v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5cWFSaUU5a2R6N2s
/root[1]/div[4]/ab[1]/figure[1],p105r,fig_p105r_3,https://drive.google.com/open?id=1JhDJNev7KOB91hz0h-FhVjRGxq8rj3s1
/root[1]/div[4]/ab[1]/figure[2],p105r,fig_p105r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5T1FZYTdOT1U4Qzg
/root[1]/div[4]/figure[1],p105r,fig_p105r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5UWpzdGVweGVvQTg
/root[1]/div[4]/ab[4]/figure[1],p111r,fig_p111r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5X085N09VejNheTQ
/root[1]/div[1]/figure[1],p112r,fig_p112r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5MHphUzNsdW9DQ1U
/root[1]/div[2]/ab[4]/figure[1],p112v,fig_p112v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5c3dzVlNzcUd6MnM
/root[1]/div[1]/ab[1]/figure[1],p113r,fig_p113r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5YkE1Vm1ZMmRoVm8
/root[1]/div[1]/ab[1]/figure[2],p113r,fig_p113r_3,https://drive.google.com/open?id=0B9-oNrvWdlO5aW1sekxQWGJJY0E
/root[1]/div[1]/ab[2]/figure[1],p113r,fig_p113r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5MDEzX0RhXzJGcXc
/root[1]/div[1]/ab[4]/figure[1],p113r,fig_p113r_4,https://drive.google.com/open?id=0B9-oNrvWdlO5Qm8wSlJPOWxfZWM
/root[1]/div[1]/ab[1]/figure[1],p113v,fig_p113v_4,https://drive.google.com/open?id=0B9-oNrvWdlO5bEE5QmFaQWxUYm8
/root[1]/div[1]/ab[1]/figure[2],p113v,fig_p113v_5,https://drive.google.com/open?id=0B9-oNrvWdlO5V29QdUxZVmxCUDQ
/root[1]/div[1]/ab[5]/figure[1],p113v,fig_p113v_3,https://drive.google.com/open?id=0B9-oNrvWdlO5dEdzS040X3RjbkU
/root[1]/div[1]/ab[1]/figure[1],p114r,fig_114r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5SWVndzB0aEk5MWs
/root[1]/div[1]/ab[3]/figure[1],p114r,fig_p114r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5NVR5Y2FtZHM0ck0
/root[1]/div[1]/ab[6]/figure[1],p114r,fig_p114r_6,https://drive.google.com/open?id=0B9-oNrvWdlO5TTRuWU8yVktnc3M
/root[1]/div[1]/figure[1],p114v,fig_p114v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5dmlRQm1lTjc4aXc
/root[1]/div[1]/ab[1]/figure[1],p114v,fig_p114v_3,https://drive.google.com/open?id=0B9-oNrvWdlO5dkk3MW10YzNIbDg
/root[1]/div[1]/ab[4]/figure[1],p114v,fig_p114v_4,https://drive.google.com/open?id=0B9-oNrvWdlO5NmZxVUxKTmhYSXM
/root[1]/div[1]/ab[1]/figure[1],p115r,fig_p115r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5NmVuVUloTy0zNWc
/root[1]/div[3]/figure[1],p115r,fig_p115r_3,https://drive.google.com/open?id=0B9-oNrvWdlO5aS1ZeHc2dGxJTE0
/root[1]/div[4]/figure[1],p115r,fig_p115r_4,https://drive.google.com/open?id=0B9-oNrvWdlO5Xzg4WTZ2NFNkOHM
/root[1]/div[3]/ab[3]/figure[1],p115v,fig_p115v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5dHVja3NnV0dmMlk
/root[1]/div[3]/ab[5]/figure[1],p115v,fig_p115v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5bXhqSkVQbkgwYjQ
/root[1]/div[1]/ab[1]/figure[1],p116r,fig_p116r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5SEdPVDdsS2dEUmM
/root[1]/div[1]/figure[1],p117r,fig_p117r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5WnpBbm8wN2gyTWs
/root[1]/div[1]/figure[2],p117r,fig_p117r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5VURRYzlWOFByNzQ
/root[1]/div[1]/figure[3],p117r,fig_p117r_3,https://drive.google.com/open?id=0B9-oNrvWdlO5dVB5bzVUWWJuS0U
/root[1]/div[1]/ab[8]/figure[1],p118v,fig_p118v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5Rm5qaUJCNWVFWlk
/root[1]/div[5]/head[1]/figure[1],p120v,fig_p120v_3,https://drive.google.com/open?id=1PVlkb1lR_o9LNTFq4QNRxxQ-tP1QZHBj
/root[1]/div[1]/figure[1],p122r,fig_p122r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5TVo3Y3lKWjA0dXM
/root[1]/div[2]/figure[1],p122r,fig_p122r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5ZDJlZ0g5OXNKeDQ
/root[1]/div[2]/del[1]/figure[1],p122r,fig_p122r_3,https://drive.google.com/open?id=0B9-oNrvWdlO5UDgyYnNSZnlndjg
/root[1]/div[2]/del[2]/figure[1],p122r,fig_p122r_4,https://drive.google.com/open?id=0B9-oNrvWdlO5elo4VzJZRUppOWc
/root[1]/div[3]/ab[1]/figure[1],p122v,fig_p122v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5aTlRdkx2eVdtZXM
/root[1]/div[3]/ab[1]/figure[2],p122v,fig_p122v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5WFBpaEV5Ti1hRUU
/root[1]/div[3]/ab[1]/figure[1],p124v,fig_p124v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5dWU4UEtpX0hBV0k
/root[1]/div[3]/figure[1],p124v,fig_p124v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5aGQ0OTFCTklrQ0k
