3 ab,,3 ab,,3 ab
1 bp,,1 bp,,1 bp
3 comment,,3 comment,,4 comment
4 del,,1 corr,,4 del
3 div,,3 del,,3 div
9 env,,3 div,,9 env
4 exp,,9 env,,5 fr
3 head,,4 exp,,3 head
1 la,,3 head,,1 la
24 lb,,1 la,,15 m
15 m,,24 lb,,5 pl
5 pl,,15 m,,3 pro
3 pro,,5 pl,,1 root
1 root,,3 pro,,1 sn
1 sn,,1 root,,5 tl
5 tl,,1 sn,,1 tmp
1 tmp,,5 tl,,
,,1 tmp,,
ms-xml/tc/tc_p090v_preTEI.xml,,ms-xml/tcn/tcn_p090v_preTEI.xml,,ms-xml/tl/tl_p090v_preTEI.xml
3 ab,,3 ab,,3 ab
2 add,,2 add,,2 add
3 del,,3 del,,3 del
3 div,,3 div,,3 div
1 env,,1 env,,1 env
7 exp,,7 exp,,3 fr
2 head,,2 head,,2 head
28 lb,,28 lb,,12 m
13 m,,13 m,,1 ms
1 ms,,1 ms,,2 pa
2 pa,,2 pa,,2 pl
2 pl,,2 pl,,1 pro
1 pro,,1 pro,,1 root
1 root,,1 root,,13 tl
13 tl,,13 tl,,1 tmp
1 tmp,,1 tmp,,
ms-xml/tc/tc_p091r_preTEI.xml,,ms-xml/tcn/tcn_p091r_preTEI.xml,,ms-xml/tl/tl_p091r_preTEI.xml
7 ab,,7 ab,,7 ab
2 add,,2 add,,2 add
1 al,,1 al,,1 al
1 comment,,1 corr,,3 del
3 del,,3 del,,1 df
1 df,,1 df,,2 div
2 div,,2 div,,2 env
2 env,,2 env,,3 fr
5 exp,,6 exp,,2 head
2 head,,2 head,,1 ill
1 ill,,1 ill,,15 m
41 lb,,41 lb,,9 pa
15 m,,15 m,,1 root
9 pa,,9 pa,,13 tl
1 root,,1 root,,
13 tl,,13 tl,,
ms-xml/tc/tc_p091v_preTEI.xml,,ms-xml/tcn/tcn_p091v_preTEI.xml,,ms-xml/tl/tl_p091v_preTEI.xml
1 ab,,1 ab,,1 ab
1 al,,1 al,,1 al
2 bp,,2 bp,,2 bp
1 comment,,1 comment,,1 comment
9 del,,9 del,,8 del
1 div,,1 div,,1 div
2 exp,,2 exp,,1 figure
1 figure,,1 figure,,5 fr
