folio,div-id,sup-head
023r,p023r_1,[On petards]
001r,p001r_1,[List of names]
001r,p001r_2,[List]
001r,p001r_3,[List of books]
001r,p001r_4,[List of books]
001r,p001r_5,[List of books and authors]
002v,p002v_1,[List of books]
054v,p054v_1,[On dry preserves]
023r,p023r_1,[On petards]
169r,p169r_1,[List of processes]
170v,p170v_1,[1578-9 original first page]
170v,p170v_4,[List of books]
