folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
157r	p157r_2	Rouge cler	Rouge cler	Rouge cler									Rouge cler;or esp battu tanvre;lingot dor					orfevres		bruny;chaple		
157r	p157r_3	Nettoyer et desgraisser tes ouvrages gectes destain et aultres	Nettoyer et desgraisser tes ouvrages gectés d'estain et aultres	Flies									estain;lessive;cendres;suif;gresse									
157r	p157r_4	Disposer lherbe ou fleur pour gecter	Disposer l'herbe ou fleur pour gecter	Cleaning and degreasing your works cast fromtin and others									argent;cendre					fondeurs de grand gect		moule		
157r	p157r_5	Mousches	Mousches	Arranging an herb or flower to cast					Mousches;mouche;poisson;porc				colle;colle de poisson;cire;poil de porc;corde despinette;dardille							platene dardille;poinctes;poincte		espinette
157v	p157v_1	Cendre dans les moules	Cendre dans les moules	Ash in the molds									Cendre;cendres							moules;moule		
157v	p157v_2	Mouler un oiseau	Mouler un oiseau	Molding a bird					oiseau				ardille;beurre;plume;huile;eau de vye;argent vif;fil de fer;toile cottonee;alum;paste de farine					corroyeurs		platine dardille;moule;fil de fer;chassis		
157v	p157v_3	Pour faire h… un f…rs	Pour faire h… vin f…rs	For making h… wine f…rs ?									eau									
158r	p158r_1	Mercure dans les moules a nettoyer	Mercure dans les moules à nettoyer	Mercury in the molds for cleaning		CONTAINS FIGURE							Mercure;cendre;☿;estain;metal;crocum		provenche					moules;moule		
158v	p158v_1	Couleurs pour les feuilles vertes	Couleurs pour les feuilles vertes	Colors for green leaves					bœuf				huile;destrempe;minium peu broye;massicot;vert de gris;verdegris;ocre jaulne;scudegrun;charbon de noyau de pescher;os de pied de bœuf;fleur ou foeille naturelle		fleur de soulcy;pescher							
158v	p158v_2	Grands moules	Grands moules	Large molds									metal							moules;presse		
158v	p158v_3	Fumee de chandelle	Fumée de chandelle	Candle smoke									Fumee de chandelle;estain;plomb;medaille	moictie						moules de noyau;moule		
158v	p158v_4	Gect	Gect	Gate									huiler;cire									
159r	p159r_1	Portraicts de cire	Portraicts de cire	Wax pictures									cire;huiler;eau de vye;eau chaulde;boys;bois;cire fondue;blanc de plomb;cire blanche;ceruse							moule		
159r	p159r_2	Ciseler	Ciseler	Chiseling																Ciseler;ciselet		
159r	p159r_3	Colle de poisson	Colle de poisson	Fish glue					poisson				Colle de poisson;eau de vye;cendres chauldes;or;argent;estain;souldant							enclume;vaisseau gras		
159r	p159r_4	Estaim et plomb	Estaim et plomb	Tin and lead									Estaim;plomb;estaim;cendre									
159v	p159v_1	Nettoyer limes	Nettoyer limes	Cleaning files									graisse;plomb;limaille;charbon chault;fil de laitton							grattebroisse de fil de laitton		
159v	p159v_2	Oeillet	Oeillet	Carnation		CONTAINS FIGURE							souldure		Oeillet;rose;soulcy					moule clos		
159v	p159v_3	Moules	Moules	Molds					escrevisses											Moules;moule		
159v	p159v_4	Plastre seul	Plastre seul	Plaster alone								en terre maigre & seche;fontaines;eau	Plastre;plastre;pierre;eau;celuy de parys & despaigne;sel blanc;vernissees;huiler;metal;huiles;eau chaulde;eau quelque fois froide;eau bouillante;cire;eau froide;huile			parys;espaigne;allemands				moule		
