folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
001r	p001r_1					CONTAINS FIGURE							fleur de pastel		pastel	rue de la heaumerie a limage sainct claude;faulxbourgs de sainct germain;rue des escrivains;sainct Jaques de la boucherie	Mestre Nicolas Coste;Mestre Jehan Cousin;Mestre Jehan Garnier	mestre;courroyeur				
001r	p001r_2																	moissonneur				
001r	p001r_3					CONTAINS FIGURE			aucupio;venatione							urb. rom.;Italiene;Lyon	Savonne;Synesius;Olaus Magnus;Mestre Bernard palissi;roy;royne mere	bergiers;inventeur des rustiques figulines;roy;royne mere				
001r	p001r_4								Aquatilium animalium							Romæ						
001r	p001r_5															Normandie;Alexandria	Alexander Aphrodisæus;Polydorus vergilius;Appianus;Athenæus;Servius;Macrobius;Festus;Nonius;Magius;Pollux;Higinus;Seneca;Dionisius Halicarnassensis;Iulius Capitollinus;Budæus;Spartianus;Blondus;Volaterranus;Herodotus;Paulus Manutius;Iulius firmicus;Quintus Curtius;Dion;Cornelius Nepos;Flavius Vopiscus					
001v	p001v_1	Pour lascher le ventre	Pour lascher le ventre	For easing the belly					poulet	ventre;estomac			pruneaux de Sainct Antonin;foeilles de mauves & de viole;sucre;canelle;bouillon de poulet;racine de guimave;cirop de guindoles doulces;eau		pruneaux;mauves;viole;canelle;guimave;guindoles	Sainct Antonin						
002r	p002r_1	Livres a recouvrer	Livres à recouvrer	Books to recover																		
002r	p002r_2	Contre douleurs	Contre douleurs	Against pains									Huile de tourmentine;huile de jacob;sel tire de la cendre de choux		choux							
002v	p002v_1															brescia						
002v	p002v_2	@esmeraldes de Brissac	Esmeraldesde Brissac	Emeralds of Brissac		CONTAINS FIGURE							esmeraldes de Brissac;minium;christal;marbre;verdet;lute	℥;|ʒ|;heures;grains		Brissac				marbre;croiset couvert dun aultre bien lute qui ait un trou dans le hault		
002v	p002v_3	safir	Safir	Sapphire		CONTAINS FIGURE							safir;Caillous;christal;minium;sel de febvre;coryal	℥;grains;heures				febvre				
003r	p003r_1	Coral contrefaict	Coral contrefaict	Counterfeit coral		CONTAINS FIGURE							Coral contrefaict;boys;branche despine;poix resine claire;vermeillon broye;huile de noix;laque platte de venise;resine;charbon;colophonie;rousine;plombe;eau;gros caneva;estamine bien claire;vinaigre;coral;mastic;rousine purifiee;soufre;vermeillon;desmail de gueule;ciment;mesle de verre;brique;esmail de gueule;esmails	lb;once;heure;quarte partie	noix	venise				pot plombe;brasier;baston;gros caneva;estamine bien claire;lime		
003r	p003r_2	Vernis pour tableaulx	Vernis pour tableaulx	Varnish for panels						doigt	sols	a lombre;au soleil;pluye	Vernis;tourmentine de venise;huile de tormentine;charbon;huile;tormentine;tourmentine;huile de tourmentine;vernis;vernist;vernis de mastic;rousine	lb		venise				pot;doigt		
003r	p003r_3	Gros vernis pour le plancher	Gros vernis pour le plancher	Thick varnish for floorboards			continued						Gros vernis;vernis;huile de lin;aux;bled;grosse tourmentine commune									
003v	p003r_3					CONTAINS FIGURE		continues			sols	au soleil	tourmentine fine;tourmentine commune;huile de tourmentine fine;huile de tourmentine;tourmentine ce soict ou fine ou grossiere;eau froide;colophoine;pix græca;eau de vye;cuivre;charbon;vernis;estame	lb;seau en heure;seau						vaisseau;fourneau;vaisseau de cuivre;trepier		
003v	p003v_1	Pour vernir	Pour vernir	For varnishing									vernis de tourmentine;cole;bois;aspic;sandaraque;fer;gomme;colle de destrempe;colle de retailles									
004r	p004r_1	Vernis dhuile daspic	Vernis d’huile d’aspic	Varnish of spike lavender oil						doigt			Vernis dhuile daspic;huile daspic;gomme de sandaraque en pouldre;sandaraque;charbon;vernis;sandaraque pulverisee;hebene;tourmentine fine;vernis de lin;tourmentine;mastic pulverise;plastre;colle de retaille;vernis dhuile daspic	lb;onces				quadraniers;quiterniers		assiette;doigt		
004r	p004r_2	Pour oster le vernis dun vieulx tableau qui est jaunastre & le vernir de nouveau	Pour oster le vernis d'un vieulx tableau qui est jaunastre & le vernir de nouveau	To remove varnish from an old panel that has yellowed & varnish it anew								au soleil	vernis;savon blanc;cendree tamisee;eau;cendre;savon;vernis de tourmentine	seau;un quart dheure						tamisee;esponge;seau		
004v	p004v_1	Vernis noir pour garde despee bandes de bahus &c	Vernis noir pour garde d'espée, bandes de bahus &c.	Black varnish for sword guard, bands for trunks, &c.		CONTAINS FIGURE					sols	basse court;lieu descouvert	Vernis noir;huile de lin;huile de noix;aulx;oignons;queues de pourrceaulx;crostes de pain;huile;poix noire;bled de froment;poix;fer;charbons;vernis;vernis noir;geyct;Galipot;gousses dail pelees	un bon quart dheure;lb;la grosseur dune noix;joinctee;patenostres;un demy jour	lin;noix;aulx;oignons;queues de pourrceaulx;bled de froment;ail			fourbisseur		plume;broisse		
004v	p004v_2	Vernis noir sans foeu sans demonter les harnois ou deffaire les bandes des bahus	Vernis noir sans foeu, sans demonter les harnois ou deffaire les bandes des bahus	Black varnish without fire, without disassembling the harnesses or removing the bands from trunks									Vernis noir;vernis dhuile daspic;noir a noircir;noir de lampe;Vernis;vernis de tourmentine		aspic					broisse		
004v	p004v_3	Vernis des graveurs sur le fer	Vernis des graveurs sur le fer	Varnish ofiron engravers			continued						Vernis des graveurs sur le fer;huile de lin;huile de noix;poix noire;poix resine;vernir noir;fer;vernis;acier;sel;verdegris;vinaigre bien fort	heures	lin;noix			graveurs sur le fer		poincte dacier;esponge		
005r	p004v_3							continues					linge	heures	linge							
005r	p005r_1	Mirouers dacier	Mirouers d’acier	Steel mirrors		CONTAINS FIGURE							acier;potee desmery;cuivre franc;rosette;estain;cuivre de rosette;estain doux;cuivre;pierre blanche;huile;plastre;sable menu;arene;tripoli de venise;potee;eau;tripoli	moictie		venise				moule;creuseau;moule de pierre blanche poinct oeilletee;arene;tripoli de venise;potee;tripoli		
005r	p005r_2	Mirouers concave	Mirouers concave	Concave mirrors			continued			visaige;poil de la barbe				pas					regarder;regardes	mirouer concave		
005v	p005r_2							continues		teston;lieulx secrets;doigt;petit doigt		fenestre;rue;porte percee dune chambre fermee;soleil	papier;paille;chandelle	au bout de la table;petit doigt;milieu de la foeille			ptolomee;Archimedes	femmes;Chirurgiens	touches	mirouer concave;chandelle;fenestre;mirouer;table;foeuille de papier;foeille;foeille de papier		
005v	p005v_1	Pour bronser de blanc et jaulne	Pour bronser de blanc et jaulne	For bronzing in yellow and white									estaim de glace;argent vif;cendre;eau nette;mabre;eau de ret colle de retaille;bois;limaille despingle;colle	demy lb;demy once						mabre;chandeliers de bois;dent		
006r	p006r_1	Pour poser et assoir dor bruny et donner rouge ou verd ou bleud	Pour poser et assoir d’or bruny et donner rouge ou verd ou bleud	For laying down and setting burnished gold and giving red or green or blue					mouton			a la pluye	or bruny;ceruse;blanc de plomb;or mat;huile;ocre;mine;plomberies dorees;bonne craye bien blanche bien broyee;colle a destrempe;bois;prele;queue de cheval;fin boli armeni;sanguine;suif de mouton;febve;poys;bol;charbon de saule;suif;safran;sucre candy;eau;gomme;colle;or;eau claire;rouge cler;laque platte de venise;mabre;huile de noix ou de lin;vernis de tourmentine ou daspic;bresil;laque ronde;verd de gris;vernis de tourmentine & non de aspic;verdegris;azur;argent bruny;azur desmail;vernis de tourmentine	une demy coquille de nois	prele;queue de cheval;febve;poys;saule;nois;safran;noix;lin;aspic;bresil	armeni;venise				drap;pinceau;mabre		
006v	p006v_1	Pour ga cach cages	Pour ga cach cages	For ga cach cages		CONTAINS FIGURE				main			canulles desmail;fil darchal ou de fer;bois;cendre	grandeur dun pot doeillets	oeillets			boutonniers aussi de verre		canulles desmail;canulles;lime qui couppe;modelle de bois;rechault;lampe;petit fourneau;four de reverberation;canulle;pincettes a long bec;pincette;fourneau;lime;grille;four		
006v	p006v_2	Pour stampes a embellir et incruster ou revestir le bord des mirouers ou dessus de coffres ou frises des pantes de lict	Pour stampes à embellir et incruster ou revestir le bord des mirouers ou dessus de coffres ou frises des pantes de lict	For stamped ornaments used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances									fer;cuivre;eau fort;estain doulx;marbre poly;bois;plomb;estain;estaim;feultre;dore							burin;ciseau;marbre poly;planche de bois;table;presse a rouleaux;piece de feultre;marteau		
007r	p007r_1	Pour dorer dor couleur et dor bel	Pour dorer d’or couleur et d’or bel	For gilding with gold color and tinsel								au soleil;a la pluye	or couleur;or bel;estain;fer;cuivre;colle;bois;huile gras;huile de noix;blanc de plomb;huile;massicot;mine de plomb;minium;or;cotton;fumee de perdrix;drap;velours;satin;colle forte	jours								
007r	p007r_2	Pour colorer bahus stampes	Pour colorer bahus stampés	For coloring stamped trunks									lamine de cuivre ou letton;bois de cormier;laque;verdet;azur desmail;vernis de tourmentine;fer blanc;azur		cormier							
007r	p007r_3	Doublets	Doublets	Doublets					dragon				sang de dragon;eau de vye;mastic;colle;verd de vessie;safran		safran							
007r	p007r_4	Colle de poisson ou usblac et colle de bouche	Colle de poisson ou usblac et colle de bouche	Fish glue or isinglass and mouth glue					poisson;moulue	bouche			Colle de poisson;usblac;colle de bouche;peau de moulue;salee;collent;eau qui ne bouille gueres;ratisseures de parchemin;coller;papier;eau de vye;vinaigre;vin blanc	nuict				menusiers;quiterniers		bouche		quiterniers
007v	p007v_1	Pour donner couleur de toute sorte de metaulx au boys & aultre chose	Pour donner couleur de toute sorte de metaulx au boys & aultre chose	For giving the color of all kinds of metals to wood & other things									metaulx;boys;pierre de touche;pierre ponce;colle de retailles;metal									
007v	p007v_2	Contre la colique venteuse	Contre la colique venteuse	Against windy colic						matrice			noix communes seiches;verre;bon vin;vin;noix	douzaine;moictie;dose	noix					brasier;pincettes;verre de bon vin		
007v	p007v_3	Pour oster la douleur de la goutte	Pour oster la douleur de la goutte	To relieve the pain of gout									marquasite doree & jaulne subtillement pulverisee;storax;urine;cuivre;linge;eau	demy lb;demy once;lb						mortier;pot;alembic bien lute & couvert dun chapiteau de cuivre;linge		
007v	p007v_4	Contre gonhorrea	Contre gonhorrea	Against gonorrhea		CONTAINS FIGURE							Aquae fabrorum antiquae;boli armeniae;mellis communis;mellis	lb;℥;ʒ								
008r	p008r_1	Lettre dor sur papier	Lettre d'or sur papier	Lettering of gold on paper									or;papier;laict de figuier;linge		figuier					linge		
008r	p008r_2	Pour rompre grenades et donner violence aux artifices de foeu	Pour rompre grenades et donner violence aux artifices de foeu	For bursting grenades and giving force to fireworks									pouldre;vif argent	six fois autant;la sixiesme partye								
008r	p008r_3	Trempe de balle pour fausser armes a preuve	Trempe de balle pour fausser armes a preuve	Tempering for balls for piercing armor of proof									plomb;plus fort vinaigre;lard;linge									
008r	p008r_4	Pour de nuict fayre bresche en une muraille	Pour de nuict fayre bresche en une muraille	For making a breach in a wall by night								une muraille;muraille	pouldre									
008v	p008v_1	Polissement du ruby balay	Polissement du ruby balay	Polishing of the balas ruby									ruby balay;tripoly;pouldre de marchasite;huile									
008v	p008v_2	Or et argent moulu	Or et argent moulu	Or et argent moulu		CONTAINS FIGURE							Or et argent moulu;or fin;☿;mercure;mabre;eau gommee;argent;eau fort;cuivre							mabre;lame de cuivre		
008v	p008v_3	Polissement de pierres	Polissement de pierres	Polishing of stones									pierres;estain;plomb;cuivre fin;cuivre;diamant;rubi;saphir;jacinthe orientale;esmeraulde;ametiste							roues une destain de plomb & de cuivre fin;roue de cuivre;roue destain		
008v	p008v_4	M ixtion des pintiers	M ixtion des pintiers	Mixture of Pewterers									fin estaing;plomb;estaing;limaille de letton	moictie				pintiers	sonnant			
008v	p008v_5	Amalgame parfaict	Amalgame parfaict	Perfect amalgam		CONTAINS FIGURE							grais;☿;eau;☾;☼;eau fort;♀	huictiesme partye								
009r	p009r_1	Laboureur	Laboureur	Plowman								a la frescheur & aux rays de la lune			millet;bled;mil;pomole;baillard;febves	gascoigne;france		Laboureur;mestiviers				
009r	p009r_2	Painctre	Painctre	Painter														Painctre		plume;pinceau		
009r	p009r_3	Marchant	Marchant	Merchant								jugement						Marchant;aprentifs				
009v	p009v_1	Painctre	Painctre	Painters									orpiment;verre;cendres;grenats;esmail rouge;huile;sel commun;vert de terre					Painctre		bouteille de verre;mattelas		
009v	p009v_2	@Marchant	Marchant	Merchant														Marchant;Marchans				
009v	p009v_3					CONTAINS FIGURE					livres;lb		toille babtiste	cane;livres Canne;Canne;livres;lb			francois du Cros;Francois du Cros;du Cros;sainct andre					
010r	p010r_1	Jaspe contrefaict	Jaspe contrefaict	Counterfeit jasper									Jaspe contrefaict;corne;jaspe;cornalines;pierres;verre;roses;tourmentine claire;vernis daspic;huiler;huile daspic;limaille de talc ou despingle;ciment;gomme armoniac;vinaigre;jaspe grumeleux;laines a gros poil;or & argent en foeille;tourmentine;argent;foeille destaing;colle forte		roses;aspic					limer;rabot		
010r	p010r_2	Scudegrun	Scudegrun	Stil de grain yellow									Scudegrun;suc de gaulde;croye;ceruse;destrempe;huile			lyon						
010r	p010r_3	Roses	Roses	Roses									corne de lanternes;parchemin		Roses							
010r	p010r_4	Couleur de pourpres	Couleur de pourpres	Purple color									azur commun;azur desmail;laque;alum					painctres				
010r	p010r_5	Pouldre dhorloges de sable	Pouldre d’horloges de sable	Powder for sand glasses		CONTAINS FIGURE							Pouldre;plomb;sel commun pulverise subtilement;pierre;terre;fer;sel;mabre;eau;petite pouldre	lb;℥						fer;mabre;tamis fin		
010v	p010v_1	Pour paindre a huile sur taffetas sans que lhuile coure	Pour paindre à huile sur taffetas sans que l'huile coure	For painting in oil on taffeta without the oil running									huile;taffetas;batture;tourmentine;colle;eau;miel;or;eau dalum	heures								
010v	p010v_2	Assiete dor de foeuille sur parchemin ou papier	Assiete d'or de foeuille sur parchemin ou papier	Ground layer for gold leaf on parchment or paper									or de foeuille;parchemin;papier;colle damydon;or									
010v	p010v_3	Pour nettoyer lor de foeille pose sur le fer	Pour nettoyer l'or de foeille posé sur le fer	For cleaning gold leaf applied to iron					cheval				or de foeille;fer;fiente de cheval seche									
010v	p010v_4	Pour blanchir la ceruse	Pour blanchir la ceruse	For whitening ceruse									ceruse;œufs partis les par moictie & oste le jaulne & entre les deulx moicties du blanc;eau claire							filet		
011r	p011r_1	Paindre a huile desmail dazur	Paindre à huile d'esmail d'azur	Painting esmail d’azur in oil						ongle		veines de la montaigne	huile;esmail dazur;ceruse;azur desmail;azur;asur;mabre;jaulne doeuf;eaulx;eau;esmail;azurs;eau de roche;vert dazur;cuivre;cendres dazur;eau claire;eau coloree			allemaigne		communs painctres		alaine;mabre;eaulx;painceau;broisse;truelle;eau;esponge;vaisseau;tamis;eau de roche;alambic;ongle;pallette a huile;eau claire;eau coloree		
011v	p011v_1	Couleur dacier de damas sur costeaulx	Couleur dacier de damas sur costeaulx	Color of damascene steel on knives									acier de damas;eau fort commune;acier;eau;terre;cendre;sable;or;argent							costeaulx;cendre;sable;pierre de touche		
011v	p011v_2	Pour oster la rougeur des yeulx ou la meurtrisseure	Pour oster la rougeur des yeulx ou la meurtrisseure	For getting rid of the redness of eyes or bruising					mouton	yeulx			cher de mouton cru							bandeau		
011v	p011v_3	Pour coucher dor mat	Pour coucher d'or mat	For coating with or mat									or mat;or					espasiers				
011v	p011v_4	Pour poinctes de diamants a graver	Pour poinctes de diamants à graver	For diamond points for engraving									diamants;pierres;diamant;pouldre de pierre ponce;plomb;pierre;verre;vernis;saphir;ongle							poinctes de diamants;poinctes;pouldre de pierre ponce;roue de plomb		
011v	p011v_5	Roue de cuivre a polir	Roue de cuivre à polir	Polishing wheel of copper									cuivre;pierre;cuir							Roue de cuivre a polir;lopin de cuir;roue		
012r	p012r_1	Pour mouler de soufre	Pour mouler de soufre	Molding sulfur					lesard			au vent;au froict	soufre;noir a noirci;sanguine pulverisee;huile;verdegris;plastre;eau;noir a noircir									
012r	p012r_2	Chimolee	Chimolée	Chimolee									Chimolee;terre chimolee;draps;chimolee;plomb	jours				parayres		pot;four;four couvert		
012r	p012r_3	Papier	Papier	Paper									Papier;soufre;chimolee cuitte;blanc;or;albastre;blanc de plomb;glaire doeuf;pelure de figuier;vernis blanc;papier		figuier					dent		
012r	p012r_4	Plastre	Plastre	Plaster		CONTAINS FIGURE				doigt		montaigne	Plastre;mabre;soufre;huile;plastre;eau;pouldre dudict plastre;pouldre de plastre			albigeois				feu de reverberation;fours de barbiers;mabre;doigt		
012v	p012v_1	Mouler le stuc promptement	Mouler le stuc promptement	Moulding stucco quickly									stuc;brique;bol armen;sanguine;cire;plastre;papier pile;terre chimolee;bol			armen				medaille de relief		
012v	p012v_2	Nettoyer perles jaulnes	Nettoyer perles jaulnes	Cleaning yellow pearls									perles jaulnes;tripoly;cuir;pouldre dudict tripoly;perle					orfevres		bouteure dorfevres		
012v	p012v_3	Pour blanchir enilanroc	Pour blanchir enilanroc	For whitening enilanroc			continued			bouche		pres du feu	enilanroc;ceruse;esmail recuit;arsenic;mabre;fer;charbons;plomb;destaing;agathe					anciens lapidaires;orfevre		mabre;cassete de fer;forge dorfevre;roue de plomb		
013r	p012v_3							continues	porceau				agathe;brique;diamant;sayes de porceau;tripoly;cendres;albastre					vitrier		souldouers de vitrier;poincte de diamant;sayes de porceau;tripoly		
013r	p013r_1	Carnation darsenic	Carnation d'arsenic	Carnation from arsenic									arsenic;arcenic sublime;pierre;mabre;vermeillon;laque;mine;arcenic jaulne;huile							mabre		
013r	p013r_2	Pour taindre	Pour taindre	For dyeing					animal				sel armoniac;vitriol;laque;verdet;azur									
013r	p013r_3	Polissement de pierres	Polissement de pierres	Polishing of stones									pierres;pierres tai gravees;cuivre;tripoly;pierres taillees a faces et a plain							roue de cuivre;broisses;tripoly;roue		
013r	p013r_4	Tamis fins de soye creue	Tamis fins de soye creue	Fine sieves of raw silk			continued						soye creue;estamine de soye crue;soye crue blanchie a la fumee du soufre;soye crue;fumee du soufre;soye;farine							Tamis fins de soye creue;telier;fins & subtils tamis		
013v	p013r_4							continues	cheval				soye crue jaulne & naturelle;farine;poil de cheval									
013v	p013v_1	Pour cognoistre la bonne cendree dazur a huile	Pour cognoistre la bonne cendrée d'azur à huile	To know the good azurite ash for oil						doigt			cendree dazur;huile;papier					sophistiqueurs		doigt		
013v	p013v_2	Blanchiment de perles	Blanchiment de perles	Whitening of pearls									perles;eau de savon									
013v	p013v_3	Crapaudine	Crapaudine	Toadstone					crapault				Crapaudine					larrons		brasier		
013v	p013v_4	Serpens	Serpens	Snakes					Serpens;serpent;pourceau													
013v	p013v_5	Chandelles	Chandelles	Candles								vent dhaultan	suif					chandeliers		Chandelles;chandelle		
014r	p014r_1	Pour murailles de terre et bastiment rustique	Pour murailles de terre et bastiment rustique	For walls of earth and rustic construction		CONTAINS FIGURE			hirondelles	pied		murailles;muraille;bon & fertile territoire	terre;boue;festus;brins de foing ou de paille;pierre;brique;terre legiere;arene;terres;branches de bruyeres;billots;bruiere;bruyeres;salpestre	pied	bruyeres;bruiere			pouldriers		palle baisse;cordeau;rands ch perches;chevrons;tables;battouers;mail;batte		
014v																						
015r	p015r_1	Drap damasse	Drap damassé	Damasked cloth									Drap damasse;drap;tainct;fisselle;cordette;teincture de guesde ou pastel;taincture verte;corde;meschant drap		guesde;pastel							
015r	p015r_2	Gecter en fonte	Gecter en fonte	Casting molten metals		CONTAINS FIGURE			cheval				farine;cuivre;letton;terre;ardille sabloneuse;fiente de cheval;bourre;sables artificiels;plomb;metal	moys						chassis		
015r	p015r_3	Gecter or et argent	Gecter or et argent	Casting gold and silver									or;argent;sable des fondeurs;terre;metal					fondeurs		chassis		
015v	p015v_1	Tablettes	Tablettes	Tablets					seiche				buys;ebene;sandal;yvoire;or;argent;damasquine;os de seiche							poincte dargent;os de seiche		
015v	p015v_2	Lettre plus lisable	Lettre, plus lisable	Letter, more legible									beril;cristal							petit manche		
015v	p015v_3	Stamper	Stamper	Stamping									bronze;plomb;clinquant;lames de plomb;argent recuit recuit;bois							mail de bois		
015v	p015v_4	Ramolir la corne	Ramolir la corne	Softening horn									corne;eau chaulde							triboulet en rond ou faict en ovale		
015v	p015v_5	Oreilles	Oreilles	Ears						Oreilles;oeil;oreille;coulde			cothon musque;musc									
015v	p015v_6	Mal des dents	Mal des dents	Tooth ache						dents;oreille;dent;narine			gousse dail	heures	ail;visaube							
016r	p016r_1	Fonte de fer doux	Fonte de fer doux	Fonte of soft iron		CONTAINS FIGURE	continued			poignees			fer doux;fer;realgar;plomb;orpiment mesle;fer aigre;fer douls;hiebles;fonte;eau;fer doulx	pan & demy;pans;un pan;pan;quintal & demy;quintals;poignees;plus gros	hiebles			commun;alchemistes;minerons;ouvriers		petites forges;pots de fer;fourneau;four;four en quarre;fourneau rond;fonte;fourneau de reverberation;forges;fontes;moules;plus gros charbon;moule;grosse lime		
016v	p016r_1							continues					fer;metail;cendre destrempee	pans;lb;palles;quintals						fourneau;gros charbons;charbon;charbon nouveau;moules;coquilles de fer ou de metail		
016v	p016v_1	Contre Gonorrhee	Contre Gonorrhée	Against Gonorrhea									graine de coings;eau claire;eau mucilagineuse		coings							
016v	p016v_2	Pour oster le menu poil du front	Pour oster le menu poil du front	For removing fine hair from the forehead						front			soye deliee;soye;menus brins de cotton	aiguillee						aiguillee de soye deliee		
016v	p016v_3	Soye	Soye	Silk									Soye;cramoisi;soyes					ouvrier				
016v	p016v_4	Garder oranges	Garder oranges	Keeping oranges									oranges;estaing	mois	oranges					vaisseau destaing et bien clos		
016v	p016v_5	Chandelles	Chandelles	Candles								en lieu frais & sec	son;fil de chanvre;cotton		chanvre	montauban						
017r	p017r_1	Du canonier	Du canonier	On gunners			continued		chevaulx		lb	maysons particulieres;petites villates;forteresses de peu dimportance	fine pouldre dharquebus;pouldre ordinayre de canon;pouldre;rosette;metal;metal fin de la grosse cloche;metal de petites cloches;rosette fine	pas;qualibre du roy;lb;quintals;qualibre de roy;espesseur de deux balles & un quart de balle;espesseur dune balle & la troisiesme partye dune balle;pans;pan de montpellier;pan de roy;trois pars de rosette & une de metal fin de la grosse cloche;poulces de roy		montpellier	roy	canonier;roy				
017v	p017r_1					CONTAINS FIGURE	continued	continues	chevaulx		lb		pouldre;pouldre de canon;cuivre;metal;estain;rosette;estain fin;estaing;pouldre a canon;pouldre dharquebus	quintals;espesseur de b deulx balles & l des trois parties dune balle lune;espesseur dune balle & de deulx trois parties les deulx;pans;pas;lb;demy lanterne;par jour;quintals & demy;quintal;lb pour quintal;lb selon lordonnance du roy pour quintal;espesseur dune demy bale;troisiesme partye dune balle;lanternes;une & demye de;un quintal de metal sur deulx de rosette;aultant dun que daultre;partye		france;toulouse	roy;Poncet	Maistres;Maistre;roy	son	lanterne;lanternes;burin		
018r	p017r_1						continued	continues	chevaulx;chevaux				pouldre	poulse		la rochelle		cavallerie				
018v	p017r_1						continued	continues	chevaulx;cheval				pouldre	quintal;pan;pas;lanterne						lanterne;lanternes		
019r	p017r_1					CONTAINS FIGURE		continues					pouldre;fer;cuivre;plomb	quintal;pan;lb								
019v	p019v_1	Figures de mathematique sans regle et compas	Figures de mathematique sans regle et compas	Mathematical figures without ruler or compass		CONTAINS FIGURE				ongle du poulce droict;grand doigt			papier;ancre	distance necessaire						regle;compas;plume;ongle du poulce droict;grand doigt;reigle		
019v	p019v_2	P Pour escripre a gaulche aussi bien qua la droicte	P Pour escripre à gaulche aussi bien qu’à la droicte	P For writing as well from the left as from the right									ancre bien gommee;cartels;ancre;papier;cartel							dent		
019v	p019v_3	Clisteres	Clisteres	Enemas					chat				cuir;peau de chat							manches ou poches de cuir;manche;syringue		
020r	p020r_1	@Pour faire les millas	@Pour faire les millas	@For making millas								fouye	millas;millet;croutte;farine;beurre frais fondu;laict;pate pour faire bignetz;Jaulnes doeuf;Jaulnes deouf;safran;terre;pate;foin	aultant dung comme daultre	millet;safran					cedas;moulles;fouye;moules;couvercle;moulle;rachaulx		
020r	p020r_2	@Vitrier	@Vitrier	@Glazier							sous;lb		verre de lorraine;verre de plat;paille;vernis;sel;drogues	lien;tables;paniers;panier;plats	paille	lorraine;France;lorrain		Vitrier;verriers;vitriers				
020v	p020v_1	Blanchir la face	Blanchir la face	To whiten the face						face			vesse;eau de cisterne;eau blanchie;amydon		vesse							
020v	p020v_2	Contre les ventosites colique &c	Contre les ventosités, colique, &c	Against winds, colic, &c.						estomac			suc exprime ou leau distilee de lescorce dorenge;escorce aussi confite;vin escumant;verre;jus dorange;escume du vin;just		orenge;orange					verre;chandelle		
020v	p020v_3	Eschervis racine	Eschervis racine	Skirret root								en lieu fort humide ou tel quavecq puys rodier ou fontayne on le puysse souvent arroser			Eschervis							
020v	p020v_4	Contre brusleure	Contre brusleure	Against burn									oignon;verjus;savon noir		oignon							
020v	p020v_5	Commun dire	Commun dire	Common saying								Eglise		quintals		rhodés;Alby;mende;thoulouse;france						
020v	p020v_6	Forme de regime	Forme de regime	A form of regimen						doigt;ventre			oeufs;moyeulx;sucre;vin	doigt								
021r	p021r_1	Canonier	Canonier	Cannoneer									pouldre					Canonier		lanterne		
021r	p021r_2	Pour tirer de nuict dun canon	Pour tirer de nuict d'un canon	Shooting a cannon at night									flambeaulx;foeus artificiels;eau;plomb;chevilles de fer;bois					canonnier;canonier		mirouers;bocals;regle		
021v	p021r_2							continues														
021v	p021v_1	Pour desenclouer un canon	Pour desenclouer un canon	Unspiking your cannon									clou;pouldre					canonier;fondeur		trepan		
021v	p021v_2	Deffense dune ville	Deffense d’une ville	Defense of a town									cloux;acier;chesne;verre									
022r	p022r_1					CONTAINS FIGURE								lb;lignes pied de roy								
022v	p022v_1	Orgues	Orgues	Orgues		CONTAINS FIGURE			chevaulx				fer;pouldre;destonnement	lb;pans;ligne;douziesme partye								
023r	p023r_1					CONTAINS FIGURE	continued			doigt;doigts			cuivre;metal;fer;toile;tourmentine;mortier;bouquaran;cailloux;cailloux de charrette;ciree;chose combustible	quintals;pans;lb;quintal;pan;doigt;canes;doigts						chevilles;guinbelet;aneau;baston;anneaulx;barre		
023v	p023r_1					CONTAINS FIGURE		continues					toile;pouldre;vinaigre;eau de vye;tourmentine;mortier;lignette;cordelle;eau	parties;deux fois que la saulcice;empan						fisselle;cordette;forchettes		
023v	p023v_1												mortiers;fer;metal	lb;quintals;moictie								
024r	p024r_1	Grenades	Grenades	Grenades					cigne	doigt;main		en lieu bien sec;en lieu humide	metal;cuivre;estain;rosette;pouldre;verre;fer blanc;mortier;eau de vye;vinaigre	quintal;lb;once;plume de cigne;travers de doigt;dos de costeau						cloche;cloches		
024v	p024v_1	Pour mener le canon en pays	Pour mener le canon en pays	To bring a canon over land			continued			doigts;pied;pieds		pays;villes fortes;biquoques	pierres;terre;pouldres	doigts;pied;pieds;gabions;caques	abres	france		pionniers;canonier;pionners;canoniers		gabions;pales		
024v	p024v_2				left-top								pouldre									
024v	p024v_3				left-middle								acier					canonier				
024v	p024v_4				left-middle																	
025r	p024v_1					CONTAINS FIGURE		continues	chevaulx				pouldre;foing;paille;bois;basane;cailloux;clous de charrette;fer;pierres;cuir	pas;gabions;quintaulx				canonier;pionniers;canoniers		sacs;cabats;gabions		
025v	p025v_1	Canonier	Canonier	Gunner									papier;fonte;pouldre	ligne;quintalz;pied				Canonier;fondeurs;canoniers		compas;modelle en papier		
026r	p026r_1					CONTAINS FIGURE	continued															
026r	p026r_2	Mortier	Mortier	Mortar		CONTAINS FIGURE						lieu sec	Mortier;pouldre;liege;cire									
026v	p026r_1					CONTAINS FIGURE	continued	continues														
027r	p026r_1					CONTAINS FIGURE	continued	continues														
027v	p026r_1					CONTAINS FIGURE		continues						quintals;pan;pans;cane;quintal;demy;lb		monpelier						
028r	p028r_1	La mesure du qualibre des pieces	La mesure du qualibre des pieces	The measures of the calibers of pieces		CONTAINS FIGURE								quintals								
