30 lb,,30 lb,,13 m
13 m,,13 m,,5 ms
5 ms,,5 ms,,2 pn
2 pn,,2 pn,,2 pro
2 pro,,2 pro,,1 root
1 root,,1 root,,1 sn
1 sn,,1 sn,,18 tl
18 tl,,18 tl,,1 tmp
1 tmp,,1 tmp,,
ms-xml/tc/tc_p006r_preTEI.xml,,ms-xml/tcn/tcn_p006r_preTEI.xml,,ms-xml/tl/tl_p006r_preTEI.xml
1 ab,,1 ab,,1 ab
1 al,,1 al,,1 al
2 del,,2 del,,2 del
1 div,,1 div,,1 div
1 env,,1 env,,1 env
1 head,,1 head,,8 fr
1 la,,1 la,,1 head
32 lb,,32 lb,,48 m
48 m,,48 m,,1 ms
1 ms,,1 ms,,14 pa
14 pa,,14 pa,,2 pl
2 pl,,2 pl,,1 root
1 root,,1 root,,6 tl
6 tl,,6 tl,,
ms-xml/tc/tc_p006v_preTEI.xml,,ms-xml/tcn/tcn_p006v_preTEI.xml,,ms-xml/tl/tl_p006v_preTEI.xml
3 ab,,3 ab,,3 ab
1 add,,1 add,,1 add
1 bp,,1 bp,,1 bp
1 comment,,2 corr,,2 comment
2 del,,2 del,,1 corr
2 div,,2 div,,2 del
3 exp,,3 exp,,2 div
1 figure,,1 figure,,1 figure
2 head,,2 head,,2 fr
32 lb,,32 lb,,2 head
15 m,,15 m,,15 m
1 ms,,1 ms,,1 ms
1 pa,,1 pa,,1 pa
1 pro,,1 pro,,1 pro
1 root,,1 root,,1 root
28 tl,,28 tl,,27 tl
ms-xml/tc/tc_p007r_preTEI.xml,,ms-xml/tcn/tcn_p007r_preTEI.xml,,ms-xml/tl/tl_p007r_preTEI.xml
6 ab,,6 ab,,6 ab
2 add,,2 add,,2 add
3 al,,3 al,,3 al
3 bp,,3 bp,,3 bp
2 comment,,1 comment,,5 comment
6 del,,1 corr,,1 corr
4 div,,6 del,,6 del
2 env,,4 div,,4 div
4 exp,,2 env,,2 env
4 head,,4 exp,,4 fr
2 ill,,4 head,,4 head
36 lb,,1 ill,,1 ill
54 m,,36 lb,,56 m
2 ms,,55 m,,2 ms
1 mu,,2 ms,,1 mu
2 pa,,1 mu,,2 pa
2 pro,,2 pa,,2 pro
1 root,,2 pro,,1 root
1 tl,,1 root,,1 tl
1 tmp,,1 tl,,1 tmp
,,1 tmp,,
ms-xml/tc/tc_p007v_preTEI.xml,,ms-xml/tcn/tcn_p007v_preTEI.xml,,ms-xml/tl/tl_p007v_preTEI.xml
4 ab,,4 ab,,4 ab
3 bp,,3 bp,,3 bp
2 comment,,2 del,,4 comment
2 del,,4 div,,2 del
4 div,,6 exp,,4 div
6 exp,,4 head,,2 exp
4 head,,1 la,,4 head
1 la,,22 lb,,1 la
22 lb,,23 m,,3 lb
24 m,,5 md,,24 m
5 md,,9 ms,,5 md
9 ms,,2 pa,,9 ms
2 pa,,1 pro,,2 pa
1 pro,,1 root,,1 pro
1 root,,8 tl,,1 root
8 tl,,,,8 tl
ms-xml/tc/tc_p008r_preTEI.xml,,ms-xml/tcn/tcn_p008r_preTEI.xml,,ms-xml/tl/tl_p008r_preTEI.xml
4 ab,,4 ab,,4 ab
1 comment,,1 comment,,4 comment
3 del,,3 del,,3 del
4 div,,4 div,,4 div
2 env,,2 env,,2 env
2 exp,,2 exp,,1 fr
4 head,,4 head,,4 head
15 lb,,15 lb,,14 m
14 m,,14 m,,2 ms
2 ms,,2 ms,,1 pa
1 pa,,1 pa,,1 root
1 root,,1 root,,1 tl
1 tl,,1 tl,,1 tmp
1 tmp,,1 tmp,,4 wp
5 wp,,5 wp,,
ms-xml/tc/tc_p008v_preTEI.xml,,ms-xml/tcn/tcn_p008v_preTEI.xml,,ms-xml/tl/tl_p008v_preTEI.xml
5 ab,,5 ab,,5 ab
5 del,,1 corr,,2 comment
5 div,,5 del,,5 del
1 exp,,5 div,,5 div
5 head,,2 exp,,5 fr
1 ill,,5 head,,5 head
